district,category,score,risk_level,z_score,percentile_rank,incident_count
1,Medical,14.07790709,MEDIUM,0.042996973,3,7889
1,Structure Fire,21.12869329,HIGH,0.967352702,5,106
1,Outside/Vehicle Fire,2.144239209,LOW,-0.185841644,5,186
1,Wildland Fire,0.998141895,LOW,0.499006691,5,36
1,Rescue,11.47553176,MEDIUM,0.540455802,4,59
1,Hazardous Situation,7.393561987,LOW,-0.511198221,2,218
2,Medical,13.14430724,MEDIUM,-0.56278725,2,3872
2,Structure Fire,21.50738252,HIGH,1.097189212,6,73
2,Outside/Vehicle Fire,1.860333484,LOW,-0.381020658,3,86
2,Wildland Fire,1.892304151,LOW,1.66367619,6,20
2,Rescue,9.251335039,LOW,-0.420532823,3,25
2,Hazardous Situation,9.07336919,LOW,1.089955601,5,136
3,Medical,15.49715529,MEDIUM,0.963903473,5,3296
3,Structure Fire,18.25826562,MEDIUM,-0.01677678,3,27
3,Outside/Vehicle Fire,1.514211579,LOW,-0.618977261,1,48
3,Wildland Fire,0.799763783,LOW,0.240614062,4,28
3,Rescue,12.32343442,MEDIUM,0.906801462,5,38
3,Hazardous Situation,9.167569286,LOW,1.179783606,6,173
4,Medical,15.57066771,MEDIUM,1.011603417,6,4038
4,Structure Fire,17.03863563,MEDIUM,-0.434954993,2,24
4,Outside/Vehicle Fire,2.110987716,LOW,-0.208701322,4,36
4,Wildland Fire,0,LOW,-0.801098981,1,15
4,Rescue,7.832890058,LOW,-1.033387558,2,16
4,Hazardous Situation,7.697548073,LOW,-0.221445634,3,156
5,Medical,14.29793292,MEDIUM,0.185764964,4,2448
5,Structure Fire,18.36952494,MEDIUM,0.021350631,4,17
5,Outside/Vehicle Fire,1.526340755,LOW,-0.610633398,2,42
5,Wildland Fire,0,LOW,-0.801098981,1,12
5,Rescue,7.572787296,LOW,-1.145767814,1,44
5,Hazardous Situation,6.408774365,LOW,-1.449875269,1,113
6,Medical,11.4818855,MEDIUM,-1.641481578,1,4662
6,Structure Fire,13.54095762,MEDIUM,-1.634160772,1,50
6,Outside/Vehicle Fire,5.331272239,LOW,2.005174283,6,76
6,Wildland Fire,0,LOW,-0.801098981,1,35
6,Rescue,12.89194091,MEDIUM,1.152430932,6,29
6,Hazardous Situation,7.838367177,LOW,-0.087220083,4,160
