GEO_ID,NAME,Total_Households,SNAP_Households
08001007801,Census Tract 78.01; Adams County; Colorado,1413,506
08001007802,Census Tract 78.02; Adams County; Colorado,1489,381
08001007900,Census Tract 79; Adams County; Colorado,2291,350
08001008000,Census Tract 80; Adams County; Colorado,2076,233
08001008100,Census Tract 81; Adams County; Colorado,828,58
08001008200,Census Tract 82; Adams County; Colorado,1668,384
08001008308,Census Tract 83.08; Adams County; Colorado,2204,700
08001008309,Census Tract 83.09; Adams County; Colorado,1164,102
08001008354,Census Tract 83.54; Adams County; Colorado,2404,117
08001008355,Census Tract 83.55; Adams County; Colorado,1757,178
08001008401,Census Tract 84.01; Adams County; Colorado,2116,95
08001008402,Census Tract 84.02; Adams County; Colorado,1793,40
08001008505,Census Tract 85.05; Adams County; Colorado,2392,308
08001008506,Census Tract 85.06; Adams County; Colorado,2924,606
08001008507,Census Tract 85.07; Adams County; Colorado,2168,73
08001008508,Census Tract 85.08; Adams County; Colorado,1917,153
08001008524,Census Tract 85.24; Adams County; Colorado,3046,104
08001008526,Census Tract 85.26; Adams County; Colorado,2843,250
08001008533,Census Tract 85.33; Adams County; Colorado,3026,191
08001008534,Census Tract 85.34; Adams County; Colorado,1449,168
08001008535,Census Tract 85.35; Adams County; Colorado,1696,213
08001008536,Census Tract 85.36; Adams County; Colorado,1659,61
08001008538,Census Tract 85.38; Adams County; Colorado,4799,41
08001008540,Census Tract 85.40; Adams County; Colorado,3224,362
08001008544,Census Tract 85.44; Adams County; Colorado,1841,19
08001008545,Census Tract 85.45; Adams County; Colorado,2104,0
08001008546,Census Tract 85.46; Adams County; Colorado,1393,71
08001008547,Census Tract 85.47; Adams County; Colorado,1197,64
08001008548,Census Tract 85.48; Adams County; Colorado,586,24
08001008549,Census Tract 85.49; Adams County; Colorado,1389,97
08001008550,Census Tract 85.50; Adams County; Colorado,2795,113
08001008551,Census Tract 85.51; Adams County; Colorado,655,30
08001008552,Census Tract 85.52; Adams County; Colorado,1987,255
08001008553,Census Tract 85.53; Adams County; Colorado,1896,39
08001008554,Census Tract 85.54; Adams County; Colorado,1149,17
08001008555,Census Tract 85.55; Adams County; Colorado,3064,372
08001008556,Census Tract 85.56; Adams County; Colorado,2290,62
08001008557,Census Tract 85.57; Adams County; Colorado,454,42
08001008558,Census Tract 85.58; Adams County; Colorado,1529,77
08001008559,Census Tract 85.59; Adams County; Colorado,2841,184
08001008560,Census Tract 85.60; Adams County; Colorado,764,0
08001008561,Census Tract 85.61; Adams County; Colorado,2199,22
08001008562,Census Tract 85.62; Adams County; Colorado,2162,54
08001008563,Census Tract 85.63; Adams County; Colorado,1486,48
08001008564,Census Tract 85.64; Adams County; Colorado,378,10
08001008565,Census Tract 85.65; Adams County; Colorado,2174,213
08001008603,Census Tract 86.03; Adams County; Colorado,645,187
