GEO_ID,Tract_Name,Total_Pop,Pop_65plus,Pct_65plus
08001007801,Census Tract 78.01; Adams County; Colorado,4108,262,6.4
08001007802,Census Tract 78.02; Adams County; Colorado,4323,266,6.2
08001007900,Census Tract 79; Adams County; Colorado,6735,371,5.5
08001008000,Census Tract 80; Adams County; Colorado,5597,850,15.2
08001008100,Census Tract 81; Adams County; Colorado,1676,235,14.0
08001008200,Census Tract 82; Adams County; Colorado,6582,373,5.7
08001008308,Census Tract 83.08; Adams County; Colorado,6518,192,2.9
08001008309,Census Tract 83.09; Adams County; Colorado,3865,264,6.8
08001008354,Census Tract 83.54; Adams County; Colorado,7963,507,6.4
08001008355,Census Tract 83.55; Adams County; Colorado,4830,473,9.8
08001008401,Census Tract 84.01; Adams County; Colorado,6005,643,10.7
08001008402,Census Tract 84.02; Adams County; Colorado,5636,558,9.9
08001008505,Census Tract 85.05; Adams County; Colorado,7106,1152,16.2
08001008506,Census Tract 85.06; Adams County; Colorado,6154,723,11.7
08001008507,Census Tract 85.07; Adams County; Colorado,6320,1350,21.4
08001008508,Census Tract 85.08; Adams County; Colorado,5787,651,11.2
08001008524,Census Tract 85.24; Adams County; Colorado,8976,856,9.5
08001008526,Census Tract 85.26; Adams County; Colorado,7537,822,10.9
08001008533,Census Tract 85.33; Adams County; Colorado,8063,629,7.8
08001008534,Census Tract 85.34; Adams County; Colorado,4213,536,12.7
08001008535,Census Tract 85.35; Adams County; Colorado,4774,469,9.8
08001008536,Census Tract 85.36; Adams County; Colorado,5093,705,13.8
08001008538,Census Tract 85.38; Adams County; Colorado,15073,950,6.3
08001008540,Census Tract 85.40; Adams County; Colorado,10799,875,8.1
08001008544,Census Tract 85.44; Adams County; Colorado,5998,405,6.8
08001008545,Census Tract 85.45; Adams County; Colorado,6373,988,15.5
08001008546,Census Tract 85.46; Adams County; Colorado,3468,296,8.5
08001008547,Census Tract 85.47; Adams County; Colorado,3451,386,11.2
08001008548,Census Tract 85.48; Adams County; Colorado,1604,106,6.6
08001008549,Census Tract 85.49; Adams County; Colorado,5032,499,9.9
08001008550,Census Tract 85.50; Adams County; Colorado,8191,958,11.7
08001008551,Census Tract 85.51; Adams County; Colorado,1916,254,13.3
08001008552,Census Tract 85.52; Adams County; Colorado,5493,615,11.2
08001008553,Census Tract 85.53; Adams County; Colorado,5832,857,14.7
08001008554,Census Tract 85.54; Adams County; Colorado,2912,835,28.7
08001008555,Census Tract 85.55; Adams County; Colorado,6634,703,10.6
08001008556,Census Tract 85.56; Adams County; Colorado,6068,432,7.1
08001008557,Census Tract 85.57; Adams County; Colorado,1371,112,8.2
08001008558,Census Tract 85.58; Adams County; Colorado,4811,356,7.4
08001008559,Census Tract 85.59; Adams County; Colorado,9257,885,9.6
08001008560,Census Tract 85.60; Adams County; Colorado,2470,391,15.8
08001008561,Census Tract 85.61; Adams County; Colorado,5113,1720,33.6
08001008562,Census Tract 85.62; Adams County; Colorado,6565,686,10.4
08001008563,Census Tract 85.63; Adams County; Colorado,4537,189,4.2
08001008564,Census Tract 85.64; Adams County; Colorado,1598,178,11.1
08001008565,Census Tract 85.65; Adams County; Colorado,7285,835,11.5
08001008603,Census Tract 86.03; Adams County; Colorado,1881,220,11.7
08001008604,Census Tract 86.04; Adams County; Colorado,4519,415,9.2
08001008605,Census Tract 86.05; Adams County; Colorado,4099,743,18.1
08001008606,Census Tract 86.06; Adams County; Colorado,6384,666,10.4
08001008705,Census Tract 87.05; Adams County; Colorado,5590,813,14.5
08001008706,Census Tract 87.06; Adams County; Colorado,4731,626,13.2
08001008709,Census Tract 87.09; Adams County; Colorado,6869,1009,14.7
08001008801,Census Tract 88.01; Adams County; Colorado,5651,305,5.4
08001008802,Census Tract 88.02; Adams County; Colorado,4046,318,7.9
08001008901,Census Tract 89.01; Adams County; Colorado,2485,362,14.6
08001009001,Census Tract 90.01; Adams County; Colorado,5341,661,12.4
08001009003,Census Tract 90.03; Adams County; Colorado,4460,394,8.8
08001009004,Census Tract 90.04; Adams County; Colorado,5578,291,5.2
08001009101,Census Tract 91.01; Adams County; Colorado,4258,469,11.0
08001009103,Census Tract 91.03; Adams County; Colorado,4484,227,5.1
08001009104,Census Tract 91.04; Adams County; Colorado,7108,618,8.7
08001009202,Census Tract 92.02; Adams County; Colorado,4340,473,10.9
08001009203,Census Tract 92.03; Adams County; Colorado,4328,290,6.7
08001009204,Census Tract 92.04; Adams County; Colorado,6591,523,7.9
08001009206,Census Tract 92.06; Adams County; Colorado,2251,385,17.1
08001009207,Census Tract 92.07; Adams County; Colorado,4764,253,5.3
08001009304,Census Tract 93.04; Adams County; Colorado,5524,674,12.2
08001009306,Census Tract 93.06; Adams County; Colorado,4131,690,16.7
08001009307,Census Tract 93.07; Adams County; Colorado,3628,342,9.4
08001009308,Census Tract 93.08; Adams County; Colorado,4198,342,8.1
08001009309,Census Tract 93.09; Adams County; Colorado,3946,601,15.2
08001009310,Census Tract 93.10; Adams County; Colorado,5474,497,9.1
08001009316,Census Tract 93.16; Adams County; Colorado,7145,1143,16.0
08001009318,Census Tract 93.18; Adams County; Colorado,7233,354,4.9
08001009319,Census Tract 93.19; Adams County; Colorado,2409,362,15.0
08001009320,Census Tract 93.20; Adams County; Colorado,2965,216,7.3
08001009321,Census Tract 93.21; Adams County; Colorado,4351,315,7.2
08001009322,Census Tract 93.22; Adams County; Colorado,5133,419,8.2
08001009323,Census Tract 93.23; Adams County; Colorado,3434,325,9.5
08001009325,Census Tract 93.25; Adams County; Colorado,6010,946,15.7
08001009326,Census Tract 93.26; Adams County; Colorado,2487,817,32.9
08001009327,Census Tract 93.27; Adams County; Colorado,4962,639,12.9
08001009401,Census Tract 94.01; Adams County; Colorado,4529,683,15.1
08001009406,Census Tract 94.06; Adams County; Colorado,4414,668,15.1
08001009407,Census Tract 94.07; Adams County; Colorado,5370,683,12.7
08001009408,Census Tract 94.08; Adams County; Colorado,4742,678,14.3
08001009409,Census Tract 94.09; Adams County; Colorado,5728,1249,21.8
08001009410,Census Tract 94.10; Adams County; Colorado,3140,817,26.0
08001009411,Census Tract 94.11; Adams County; Colorado,3133,593,18.9
08001009501,Census Tract 95.01; Adams County; Colorado,3184,299,9.4
08001009502,Census Tract 95.02; Adams County; Colorado,5276,510,9.7
08001009553,Census Tract 95.53; Adams County; Colorado,3587,616,17.2
08001009603,Census Tract 96.03; Adams County; Colorado,6437,919,14.3
08001009604,Census Tract 96.04; Adams County; Colorado,3849,946,24.6
08001009606,Census Tract 96.06; Adams County; Colorado,3092,246,8.0
08001009607,Census Tract 96.07; Adams County; Colorado,4185,750,17.9
08001009608,Census Tract 96.08; Adams County; Colorado,2829,487,17.2
08001009751,Census Tract 97.51; Adams County; Colorado,3884,323,8.3
08001009752,Census Tract 97.52; Adams County; Colorado,3179,260,8.2
08001015000,Census Tract 150; Adams County; Colorado,2323,423,18.2
08001060001,Census Tract 600.01; Adams County; Colorado,2974,277,9.3
08001060002,Census Tract 600.02; Adams County; Colorado,5127,471,9.2
08001060100,Census Tract 601; Adams County; Colorado,7702,920,11.9
08001060200,Census Tract 602; Adams County; Colorado,4770,551,11.6
08001061200,Census Tract 612; Adams County; Colorado,4271,415,9.7
08001988700,Census Tract 9887; Adams County; Colorado,0,0,
08059009806,Census Tract 98.06; Jefferson County; Colorado,4706,1022,21.7
08059009807,Census Tract 98.07; Jefferson County; Colorado,1719,410,23.9
08059009815,Census Tract 98.15; Jefferson County; Colorado,5126,1013,19.8
08059009823,Census Tract 98.23; Jefferson County; Colorado,4308,566,13.1
08059009824,Census Tract 98.24; Jefferson County; Colorado,4889,811,16.6
08059009827,Census Tract 98.27; Jefferson County; Colorado,5614,1027,18.3
08059009828,Census Tract 98.28; Jefferson County; Colorado,5271,942,17.9
08059009829,Census Tract 98.29; Jefferson County; Colorado,1736,213,12.3
08059009830,Census Tract 98.30; Jefferson County; Colorado,2277,268,11.8
08059009831,Census Tract 98.31; Jefferson County; Colorado,3121,84,2.7
08059009832,Census Tract 98.32; Jefferson County; Colorado,2285,386,16.9
08059009833,Census Tract 98.33; Jefferson County; Colorado,5627,755,13.4
08059009834,Census Tract 98.34; Jefferson County; Colorado,4592,630,13.7
08059009835,Census Tract 98.35; Jefferson County; Colorado,3421,823,24.1
08059009836,Census Tract 98.36; Jefferson County; Colorado,3954,985,24.9
08059009837,Census Tract 98.37; Jefferson County; Colorado,8574,1083,12.6
08059009838,Census Tract 98.38; Jefferson County; Colorado,5244,1154,22.0
08059009839,Census Tract 98.39; Jefferson County; Colorado,2245,295,13.1
08059009840,Census Tract 98.40; Jefferson County; Colorado,3457,686,19.8
08059009841,Census Tract 98.41; Jefferson County; Colorado,2110,468,22.2
08059009842,Census Tract 98.42; Jefferson County; Colorado,3201,785,24.5
08059009845,Census Tract 98.45; Jefferson County; Colorado,4123,1229,29.8
08059009846,Census Tract 98.46; Jefferson County; Colorado,4990,1345,27.0
08059009847,Census Tract 98.47; Jefferson County; Colorado,3362,580,17.3
08059009848,Census Tract 98.48; Jefferson County; Colorado,2680,841,31.4
