GEO_ID,NAME,Total_Pop,Pop_Disabled
08001007801,Census Tract 78.01; Adams County; Colorado,4108,503
08001007802,Census Tract 78.02; Adams County; Colorado,4249,450
08001007900,Census Tract 79; Adams County; Colorado,6718,664
08001008000,Census Tract 80; Adams County; Colorado,5597,665
08001008100,Census Tract 81; Adams County; Colorado,1455,128
08001008200,Census Tract 82; Adams County; Colorado,6446,392
08001008308,Census Tract 83.08; Adams County; Colorado,6477,269
08001008309,Census Tract 83.09; Adams County; Colorado,3816,425
08001008354,Census Tract 83.54; Adams County; Colorado,7914,575
08001008355,Census Tract 83.55; Adams County; Colorado,4830,511
08001008401,Census Tract 84.01; Adams County; Colorado,5956,770
08001008402,Census Tract 84.02; Adams County; Colorado,5620,565
08001008505,Census Tract 85.05; Adams County; Colorado,7106,649
08001008506,Census Tract 85.06; Adams County; Colorado,5921,829
08001008507,Census Tract 85.07; Adams County; Colorado,6320,1549
08001008508,Census Tract 85.08; Adams County; Colorado,5768,709
08001008524,Census Tract 85.24; Adams County; Colorado,8976,370
08001008526,Census Tract 85.26; Adams County; Colorado,7537,723
08001008533,Census Tract 85.33; Adams County; Colorado,7910,902
08001008534,Census Tract 85.34; Adams County; Colorado,4213,329
08001008535,Census Tract 85.35; Adams County; Colorado,4758,496
08001008536,Census Tract 85.36; Adams County; Colorado,5093,546
08001008538,Census Tract 85.38; Adams County; Colorado,14890,1165
08001008540,Census Tract 85.40; Adams County; Colorado,10799,1194
08001008544,Census Tract 85.44; Adams County; Colorado,5972,351
08001008545,Census Tract 85.45; Adams County; Colorado,6361,387
08001008546,Census Tract 85.46; Adams County; Colorado,3440,192
08001008547,Census Tract 85.47; Adams County; Colorado,3242,142
08001008548,Census Tract 85.48; Adams County; Colorado,1604,187
08001008549,Census Tract 85.49; Adams County; Colorado,5032,450
08001008550,Census Tract 85.50; Adams County; Colorado,8191,720
08001008551,Census Tract 85.51; Adams County; Colorado,1916,161
08001008552,Census Tract 85.52; Adams County; Colorado,5493,450
08001008553,Census Tract 85.53; Adams County; Colorado,5832,545
08001008554,Census Tract 85.54; Adams County; Colorado,2912,644
08001008555,Census Tract 85.55; Adams County; Colorado,6621,1221
08001008556,Census Tract 85.56; Adams County; Colorado,6068,323
08001008557,Census Tract 85.57; Adams County; Colorado,1371,78
08001008558,Census Tract 85.58; Adams County; Colorado,4811,330
08001008559,Census Tract 85.59; Adams County; Colorado,9239,864
08001008560,Census Tract 85.60; Adams County; Colorado,2470,133
08001008561,Census Tract 85.61; Adams County; Colorado,5113,522
08001008562,Census Tract 85.62; Adams County; Colorado,6534,529
08001008563,Census Tract 85.63; Adams County; Colorado,4537,266
08001008564,Census Tract 85.64; Adams County; Colorado,1502,135
08001008565,Census Tract 85.65; Adams County; Colorado,7268,862
08001008603,Census Tract 86.03; Adams County; Colorado,1881,224
08001008604,Census Tract 86.04; Adams County; Colorado,3852,422
08001008605,Census Tract 86.05; Adams County; Colorado,4099,493
08001008606,Census Tract 86.06; Adams County; Colorado,6384,802
08001008705,Census Tract 87.05; Adams County; Colorado,5444,705
08001008706,Census Tract 87.06; Adams County; Colorado,4662,698
08001008709,Census Tract 87.09; Adams County; Colorado,6837,1638
08001008801,Census Tract 88.01; Adams County; Colorado,5644,482
08001008802,Census Tract 88.02; Adams County; Colorado,3934,665
08001008901,Census Tract 89.01; Adams County; Colorado,2485,511
08001009001,Census Tract 90.01; Adams County; Colorado,5323,930
08001009003,Census Tract 90.03; Adams County; Colorado,4460,513
