GEO_ID,NAME,Total_Households,Family_Households,Nonfamily_Households
08001007801,Census Tract 78.01; Adams County; Colorado,1413,653,760
08001007802,Census Tract 78.02; Adams County; Colorado,1489,968,521
08001007900,Census Tract 79; Adams County; Colorado,2291,1330,961
08001008000,Census Tract 80; Adams County; Colorado,2076,1230,846
08001008100,Census Tract 81; Adams County; Colorado,828,137,691
08001008200,Census Tract 82; Adams County; Colorado,1668,1277,391
08001008308,Census Tract 83.08; Adams County; Colorado,2204,1167,1037
08001008309,Census Tract 83.09; Adams County; Colorado,1164,875,289
08001008354,Census Tract 83.54; Adams County; Colorado,2404,1667,737
08001008355,Census Tract 83.55; Adams County; Colorado,1757,1089,668
08001008401,Census Tract 84.01; Adams County; Colorado,2116,1550,566
08001008402,Census Tract 84.02; Adams County; Colorado,1793,1400,393
08001008505,Census Tract 85.05; Adams County; Colorado,2392,1806,586
08001008506,Census Tract 85.06; Adams County; Colorado,2924,1272,1652
08001008507,Census Tract 85.07; Adams County; Colorado,2168,1744,424
08001008508,Census Tract 85.08; Adams County; Colorado,1917,1312,605
08001008524,Census Tract 85.24; Adams County; Colorado,3046,2622,424
08001008526,Census Tract 85.26; Adams County; Colorado,2843,2003,840
08001008533,Census Tract 85.33; Adams County; Colorado,3026,2009,1017
08001008534,Census Tract 85.34; Adams County; Colorado,1449,1100,349
08001008535,Census Tract 85.35; Adams County; Colorado,1696,1156,540
08001008536,Census Tract 85.36; Adams County; Colorado,1659,1540,119
08001008538,Census Tract 85.38; Adams County; Colorado,4799,4084,715
08001008540,Census Tract 85.40; Adams County; Colorado,3224,2758,466
08001008544,Census Tract 85.44; Adams County; Colorado,1841,1436,405
08001008545,Census Tract 85.45; Adams County; Colorado,2104,1818,286
08001008546,Census Tract 85.46; Adams County; Colorado,1393,998,395
08001008547,Census Tract 85.47; Adams County; Colorado,1197,884,313
08001008548,Census Tract 85.48; Adams County; Colorado,586,396,190
08001008549,Census Tract 85.49; Adams County; Colorado,1389,1159,230
08001008550,Census Tract 85.50; Adams County; Colorado,2795,2075,720
08001008551,Census Tract 85.51; Adams County; Colorado,655,531,124
08001008552,Census Tract 85.52; Adams County; Colorado,1987,1384,603
08001008553,Census Tract 85.53; Adams County; Colorado,1896,1458,438
08001008554,Census Tract 85.54; Adams County; Colorado,1149,735,414
08001008555,Census Tract 85.55; Adams County; Colorado,3064,1166,1898
08001008556,Census Tract 85.56; Adams County; Colorado,2290,1636,654
08001008557,Census Tract 85.57; Adams County; Colorado,454,393,61
08001008558,Census Tract 85.58; Adams County; Colorado,1529,1332,197
08001008559,Census Tract 85.59; Adams County; Colorado,2841,2296,545
08001008560,Census Tract 85.60; Adams County; Colorado,764,715,49
08001008561,Census Tract 85.61; Adams County; Colorado,2199,1843,356
08001008562,Census Tract 85.62; Adams County; Colorado,2162,1694,468
08001008563,Census Tract 85.63; Adams County; Colorado,1486,1140,346
08001008564,Census Tract 85.64; Adams County; Colorado,378,341,37
08001008565,Census Tract 85.65; Adams County; Colorado,2174,1756,418
08001008603,Census Tract 86.03; Adams County; Colorado,645,418,227
08001008604,Census Tract 86.04; Adams County; Colorado,1208,885,323
08001008605,Census Tract 86.05; Adams County; Colorado,1359,907,452
08001008606,Census Tract 86.06; Adams County; Colorado,2324,1534,790
08001008705,Census Tract 87.05; Adams County; Colorado,1749,1314,435
08001008706,Census Tract 87.06; Adams County; Colorado,1753,1271,482
08001008709,Census Tract 87.09; Adams County; Colorado,2832,1601,1231
08001008801,Census Tract 88.01; Adams County; Colorado,1514,1258,256
08001008802,Census Tract 88.02; Adams County; Colorado,1276,1008,268
08001008901,Census Tract 89.01; Adams County; Colorado,774,633,141
08001009001,Census Tract 90.01; Adams County; Colorado,1758,1208,550
08001009003,Census Tract 90.03; Adams County; Colorado,1605,1164,441
08001009004,Census Tract 90.04; Adams County; Colorado,2140,1368,772
08001009101,Census Tract 91.01; Adams County; Colorado,1413,1059,354
08001009103,Census Tract 91.03; Adams County; Colorado,1328,1010,318
08001009104,Census Tract 91.04; Adams County; Colorado,2270,1488,782
08001009202,Census Tract 92.02; Adams County; Colorado,1392,1115,277
08001009203,Census Tract 92.03; Adams County; Colorado,1866,1022,844
08001009204,Census Tract 92.04; Adams County; Colorado,2547,1594,953
08001009206,Census Tract 92.06; Adams County; Colorado,1137,464,673
08001009207,Census Tract 92.07; Adams County; Colorado,1419,1015,404
08001009304,Census Tract 93.04; Adams County; Colorado,2298,1204,1094
08001009306,Census Tract 93.06; Adams County; Colorado,1384,1153,231
08001009307,Census Tract 93.07; Adams County; Colorado,1251,932,319
08001009308,Census Tract 93.08; Adams County; Colorado,1609,965,644
08001009309,Census Tract 93.09; Adams County; Colorado,1600,1007,593
08001009310,Census Tract 93.10; Adams County; Colorado,1897,993,904
08001009316,Census Tract 93.16; Adams County; Colorado,2348,1531,817
08001009318,Census Tract 93.18; Adams County; Colorado,2537,1708,829
08001009319,Census Tract 93.19; Adams County; Colorado,878,543,335
08001009320,Census Tract 93.20; Adams County; Colorado,1380,672,708
08001009321,Census Tract 93.21; Adams County; Colorado,1489,932,557
08001009322,Census Tract 93.22; Adams County; Colorado,1578,1035,543
08001009323,Census Tract 93.23; Adams County; Colorado,1507,775,732
08001009325,Census Tract 93.25; Adams County; Colorado,2724,1459,1265
08001009326,Census Tract 93.26; Adams County; Colorado,1202,715,487
08001009327,Census Tract 93.27; Adams County; Colorado,1810,1483,327
08001009401,Census Tract 94.01; Adams County; Colorado,1609,1121,488
08001009406,Census Tract 94.06; Adams County; Colorado,1610,1000,610
08001009407,Census Tract 94.07; Adams County; Colorado,1810,1080,730
08001009408,Census Tract 94.08; Adams County; Colorado,1994,1296,698
08001009409,Census Tract 94.09; Adams County; Colorado,2293,1535,758
08001009410,Census Tract 94.10; Adams County; Colorado,1167,900,267
08001009411,Census Tract 94.11; Adams County; Colorado,1373,940,433
08001009501,Census Tract 95.01; Adams County; Colorado,1113,639,474
08001009502,Census Tract 95.02; Adams County; Colorado,2061,1400,661
08001009553,Census Tract 95.53; Adams County; Colorado,1378,804,574
08001009603,Census Tract 96.03; Adams County; Colorado,2757,1332,1425
08001009604,Census Tract 96.04; Adams County; Colorado,1670,892,778
08001009606,Census Tract 96.06; Adams County; Colorado,1303,926,377
08001009607,Census Tract 96.07; Adams County; Colorado,1837,859,978
08001009608,Census Tract 96.08; Adams County; Colorado,1171,585,586
08001009751,Census Tract 97.51; Adams County; Colorado,1516,1029,487
08001009752,Census Tract 97.52; Adams County; Colorado,1091,692,399
08001015000,Census Tract 150; Adams County; Colorado,988,547,441
08001060001,Census Tract 600.01; Adams County; Colorado,1351,741,610
08001060002,Census Tract 600.02; Adams County; Colorado,1486,1403,83
08001060100,Census Tract 601; Adams County; Colorado,2626,1917,709
08001060200,Census Tract 602; Adams County; Colorado,2470,1180,1290
08001061200,Census Tract 612; Adams County; Colorado,1576,1237,339
08001988700,Census Tract 9887; Adams County; Colorado,0,0,0
08059009806,Census Tract 98.06; Jefferson County; Colorado,1903,1383,520
08059009807,Census Tract 98.07; Jefferson County; Colorado,776,425,351
08059009815,Census Tract 98.15; Jefferson County; Colorado,1984,1691,293
08059009823,Census Tract 98.23; Jefferson County; Colorado,1602,1221,381
08059009824,Census Tract 98.24; Jefferson County; Colorado,2007,1261,746
08059009827,Census Tract 98.27; Jefferson County; Colorado,2405,1521,884
08059009828,Census Tract 98.28; Jefferson County; Colorado,2146,1346,800
08059009829,Census Tract 98.29; Jefferson County; Colorado,683,560,123
08059009830,Census Tract 98.30; Jefferson County; Colorado,1008,533,475
08059009831,Census Tract 98.31; Jefferson County; Colorado,1752,533,1219
08059009832,Census Tract 98.32; Jefferson County; Colorado,910,627,283
08059009833,Census Tract 98.33; Jefferson County; Colorado,2252,1339,913
08059009834,Census Tract 98.34; Jefferson County; Colorado,1981,1094,887
08059009835,Census Tract 98.35; Jefferson County; Colorado,1392,1073,319
08059009836,Census Tract 98.36; Jefferson County; Colorado,1574,1172,402
08059009837,Census Tract 98.37; Jefferson County; Colorado,2854,2659,195
08059009838,Census Tract 98.38; Jefferson County; Colorado,2159,1562,597
08059009839,Census Tract 98.39; Jefferson County; Colorado,815,679,136
08059009840,Census Tract 98.40; Jefferson County; Colorado,1359,852,507
08059009841,Census Tract 98.41; Jefferson County; Colorado,874,610,264
08059009842,Census Tract 98.42; Jefferson County; Colorado,1268,983,285
08059009845,Census Tract 98.45; Jefferson County; Colorado,1747,1275,472
08059009846,Census Tract 98.46; Jefferson County; Colorado,1953,1479,474
08059009847,Census Tract 98.47; Jefferson County; Colorado,1318,1014,304
08059009848,Census Tract 98.48; Jefferson County; Colorado,1079,815,264
08059009850,Census Tract 98.50; Jefferson County; Colorado,1108,795,313
08059009851,Census Tract 98.51; Jefferson County; Colorado,1799,1237,562
08059009852,Census Tract 98.52; Jefferson County; Colorado,1834,1434,400
08059009853,Census Tract 98.53; Jefferson County; Colorado,991,803,188
08059009854,Census Tract 98.54; Jefferson County; Colorado,2146,1363,783
08059009855,Census Tract 98.55; Jefferson County; Colorado,1072,782,290
08059009856,Census Tract 98.56; Jefferson County; Colorado,1306,451,855
08059009857,Census Tract 98.57; Jefferson County; Colorado,1266,589,677
08059009858,Census Tract 98.58; Jefferson County; Colorado,1600,1160,440
08059009901,Census Tract 99.01; Jefferson County; Colorado,960,400,560
08059010001,Census Tract 100.01; Jefferson County; Colorado,1434,728,706
08059010100,Census Tract 101; Jefferson County; Colorado,2158,1140,1018
08059010205,Census Tract 102.05; Jefferson County; Colorado,1032,740,292
08059010206,Census Tract 102.06; Jefferson County; Colorado,1619,1215,404
08059010208,Census Tract 102.08; Jefferson County; Colorado,2079,1396,683
08059010209,Census Tract 102.09; Jefferson County; Colorado,2645,1943,702
08059010210,Census Tract 102.10; Jefferson County; Colorado,1336,903,433
08059010211,Census Tract 102.11; Jefferson County; Colorado,1242,634,608
08059010212,Census Tract 102.12; Jefferson County; Colorado,1642,1039,603
08059010213,Census Tract 102.13; Jefferson County; Colorado,1906,1083,823
08059010303,Census Tract 103.03; Jefferson County; Colorado,2138,1568,570
08059010304,Census Tract 103.04; Jefferson County; Colorado,976,690,286
08059010305,Census Tract 103.05; Jefferson County; Colorado,1624,814,810
08059010306,Census Tract 103.06; Jefferson County; Colorado,1154,825,329
08059010307,Census Tract 103.07; Jefferson County; Colorado,2019,1153,866
08059010308,Census Tract 103.08; Jefferson County; Colorado,3185,1863,1322
08059010402,Census Tract 104.02; Jefferson County; Colorado,2718,1134,1584
08059010403,Census Tract 104.03; Jefferson County; Colorado,2502,1171,1331
08059010405,Census Tract 104.05; Jefferson County; Colorado,1629,480,1149
08059010406,Census Tract 104.06; Jefferson County; Colorado,1458,534,924
08059010502,Census Tract 105.02; Jefferson County; Colorado,2324,1313,1011
08059010503,Census Tract 105.03; Jefferson County; Colorado,2138,1336,802
08059010504,Census Tract 105.04; Jefferson County; Colorado,1179,869,310
08059010603,Census Tract 106.03; Jefferson County; Colorado,1916,846,1070
08059010604,Census Tract 106.04; Jefferson County; Colorado,1021,657,364
08059010701,Census Tract 107.01; Jefferson County; Colorado,2463,820,1643
08059010702,Census Tract 107.02; Jefferson County; Colorado,2451,1271,1180
08059010801,Census Tract 108.01; Jefferson County; Colorado,1069,688,381
08059010901,Census Tract 109.01; Jefferson County; Colorado,2219,1379,840
08059010902,Census Tract 109.02; Jefferson County; Colorado,1533,591,942
08059011000,Census Tract 110; Jefferson County; Colorado,2271,1265,1006
08059011101,Census Tract 111.01; Jefferson County; Colorado,1653,828,825
08059011102,Census Tract 111.02; Jefferson County; Colorado,1407,683,724
08059011202,Census Tract 112.02; Jefferson County; Colorado,1715,1054,661
08059011300,Census Tract 113; Jefferson County; Colorado,1529,640,889
08059011401,Census Tract 114.01; Jefferson County; Colorado,1326,467,859
08059011402,Census Tract 114.02; Jefferson County; Colorado,2016,647,1369
08059011551,Census Tract 115.51; Jefferson County; Colorado,1981,588,1393
