GEO_ID,NAME,Avg_HH_Size
08001007801,Census Tract 78.01; Adams County; Colorado,2.83
08001007802,Census Tract 78.02; Adams County; Colorado,2.88
08001007900,Census Tract 79; Adams County; Colorado,2.94
08001008000,Census Tract 80; Adams County; Colorado,2.7
08001008100,Census Tract 81; Adams County; Colorado,1.52
08001008200,Census Tract 82; Adams County; Colorado,3.86
08001008308,Census Tract 83.08; Adams County; Colorado,2.95
08001008309,Census Tract 83.09; Adams County; Colorado,3.32
08001008354,Census Tract 83.54; Adams County; Colorado,3.31
08001008355,Census Tract 83.55; Adams County; Colorado,2.75
08001008401,Census Tract 84.01; Adams County; Colorado,2.84
08001008402,Census Tract 84.02; Adams County; Colorado,3.14
08001008505,Census Tract 85.05; Adams County; Colorado,2.97
08001008506,Census Tract 85.06; Adams County; Colorado,2.05
08001008507,Census Tract 85.07; Adams County; Colorado,2.92
08001008508,Census Tract 85.08; Adams County; Colorado,3.02
08001008524,Census Tract 85.24; Adams County; Colorado,2.95
08001008526,Census Tract 85.26; Adams County; Colorado,2.65
08001008533,Census Tract 85.33; Adams County; Colorado,2.62
08001008534,Census Tract 85.34; Adams County; Colorado,2.91
08001008535,Census Tract 85.35; Adams County; Colorado,2.81
08001008536,Census Tract 85.36; Adams County; Colorado,3.07
08001008538,Census Tract 85.38; Adams County; Colorado,3.14
08001008540,Census Tract 85.40; Adams County; Colorado,3.35
08001008544,Census Tract 85.44; Adams County; Colorado,3.26
08001008545,Census Tract 85.45; Adams County; Colorado,3.03
08001008546,Census Tract 85.46; Adams County; Colorado,2.45
08001008547,Census Tract 85.47; Adams County; Colorado,2.71
08001008548,Census Tract 85.48; Adams County; Colorado,2.74
08001008549,Census Tract 85.49; Adams County; Colorado,3.62
08001008550,Census Tract 85.50; Adams County; Colorado,2.93
08001008551,Census Tract 85.51; Adams County; Colorado,2.93
08001008552,Census Tract 85.52; Adams County; Colorado,2.75
08001008553,Census Tract 85.53; Adams County; Colorado,3.08
08001008554,Census Tract 85.54; Adams County; Colorado,2.53
08001008555,Census Tract 85.55; Adams County; Colorado,2.14
08001008556,Census Tract 85.56; Adams County; Colorado,2.65
08001008557,Census Tract 85.57; Adams County; Colorado,3.02
08001008558,Census Tract 85.58; Adams County; Colorado,3.15
08001008559,Census Tract 85.59; Adams County; Colorado,3.26
08001008560,Census Tract 85.60; Adams County; Colorado,3.23
08001008561,Census Tract 85.61; Adams County; Colorado,2.33
08001008562,Census Tract 85.62; Adams County; Colorado,3.04
08001008563,Census Tract 85.63; Adams County; Colorado,3.05
08001008564,Census Tract 85.64; Adams County; Colorado,3.97
08001008565,Census Tract 85.65; Adams County; Colorado,3.33
08001008603,Census Tract 86.03; Adams County; Colorado,2.92
08001008604,Census Tract 86.04; Adams County; Colorado,3.17
08001008605,Census Tract 86.05; Adams County; Colorado,3.02
08001008606,Census Tract 86.06; Adams County; Colorado,2.74
08001008705,Census Tract 87.05; Adams County; Colorado,3.11
08001008706,Census Tract 87.06; Adams County; Colorado,2.66
08001008709,Census Tract 87.09; Adams County; Colorado,2.36
08001008801,Census Tract 88.01; Adams County; Colorado,3.71
08001008802,Census Tract 88.02; Adams County; Colorado,3.06
08001008901,Census Tract 89.01; Adams County; Colorado,3.16
08001009001,Census Tract 90.01; Adams County; Colorado,3.02
08001009003,Census Tract 90.03; Adams County; Colorado,2.78
08001009004,Census Tract 90.04; Adams County; Colorado,2.61
08001009101,Census Tract 91.01; Adams County; Colorado,3.01
08001009103,Census Tract 91.03; Adams County; Colorado,3.38
08001009104,Census Tract 91.04; Adams County; Colorado,3.13
08001009202,Census Tract 92.02; Adams County; Colorado,3.12
08001009203,Census Tract 92.03; Adams County; Colorado,2.28
08001009204,Census Tract 92.04; Adams County; Colorado,2.59
08001009206,Census Tract 92.06; Adams County; Colorado,1.98
08001009207,Census Tract 92.07; Adams County; Colorado,3.36
08001009304,Census Tract 93.04; Adams County; Colorado,2.4
08001009306,Census Tract 93.06; Adams County; Colorado,2.97
08001009307,Census Tract 93.07; Adams County; Colorado,2.9
08001009308,Census Tract 93.08; Adams County; Colorado,2.61
08001009309,Census Tract 93.09; Adams County; Colorado,2.47
08001009310,Census Tract 93.10; Adams County; Colorado,2.89
08001009316,Census Tract 93.16; Adams County; Colorado,3.04
08001009318,Census Tract 93.18; Adams County; Colorado,2.84
08001009319,Census Tract 93.19; Adams County; Colorado,2.74
08001009320,Census Tract 93.20; Adams County; Colorado,2.15
08001009321,Census Tract 93.21; Adams County; Colorado,2.92
08001009322,Census Tract 93.22; Adams County; Colorado,3.25
08001009323,Census Tract 93.23; Adams County; Colorado,2.28
08001009325,Census Tract 93.25; Adams County; Colorado,2.21
08001009326,Census Tract 93.26; Adams County; Colorado,2.07
08001009327,Census Tract 93.27; Adams County; Colorado,2.73
08001009401,Census Tract 94.01; Adams County; Colorado,2.81
08001009406,Census Tract 94.06; Adams County; Colorado,2.74
08001009407,Census Tract 94.07; Adams County; Colorado,2.96
08001009408,Census Tract 94.08; Adams County; Colorado,2.38
08001009409,Census Tract 94.09; Adams County; Colorado,2.5
08001009410,Census Tract 94.10; Adams County; Colorado,2.68
08001009411,Census Tract 94.11; Adams County; Colorado,2.28
08001009501,Census Tract 95.01; Adams County; Colorado,2.86
08001009502,Census Tract 95.02; Adams County; Colorado,2.56
08001009553,Census Tract 95.53; Adams County; Colorado,2.6
08001009603,Census Tract 96.03; Adams County; Colorado,2.29
