GEO_ID,NAME,Total_Pop,Total_Uninsured,Uninsured_Rate
08001007801,Census Tract 78.01; Adams County; Colorado,4108,1205,29.3
08001007802,Census Tract 78.02; Adams County; Colorado,4249,1296,30.5
08001007900,Census Tract 79; Adams County; Colorado,6718,1789,26.6
08001008000,Census Tract 80; Adams County; Colorado,5597,780,13.9
08001008100,Census Tract 81; Adams County; Colorado,1455,60,4.1
08001008200,Census Tract 82; Adams County; Colorado,6446,1167,18.1
08001008308,Census Tract 83.08; Adams County; Colorado,6477,2053,31.7
08001008309,Census Tract 83.09; Adams County; Colorado,3816,1325,34.7
08001008354,Census Tract 83.54; Adams County; Colorado,7914,967,12.2
08001008355,Census Tract 83.55; Adams County; Colorado,4830,889,18.4
08001008401,Census Tract 84.01; Adams County; Colorado,5956,581,9.8
08001008402,Census Tract 84.02; Adams County; Colorado,5620,551,9.8
08001008505,Census Tract 85.05; Adams County; Colorado,7106,304,4.3
08001008506,Census Tract 85.06; Adams County; Colorado,5921,633,10.7
08001008507,Census Tract 85.07; Adams County; Colorado,6320,538,8.5
08001008508,Census Tract 85.08; Adams County; Colorado,5768,1012,17.5
08001008524,Census Tract 85.24; Adams County; Colorado,8976,658,7.3
08001008526,Census Tract 85.26; Adams County; Colorado,7537,275,3.6
08001008533,Census Tract 85.33; Adams County; Colorado,7910,822,10.4
08001008534,Census Tract 85.34; Adams County; Colorado,4213,353,8.4
08001008535,Census Tract 85.35; Adams County; Colorado,4758,331,7.0
08001008536,Census Tract 85.36; Adams County; Colorado,5093,225,4.4
08001008538,Census Tract 85.38; Adams County; Colorado,14890,308,2.1
08001008540,Census Tract 85.40; Adams County; Colorado,10799,359,3.3
08001008544,Census Tract 85.44; Adams County; Colorado,5972,254,4.3
08001008545,Census Tract 85.45; Adams County; Colorado,6361,251,3.9
08001008546,Census Tract 85.46; Adams County; Colorado,3440,185,5.4
08001008547,Census Tract 85.47; Adams County; Colorado,3242,220,6.8
08001008548,Census Tract 85.48; Adams County; Colorado,1604,97,6.0
08001008549,Census Tract 85.49; Adams County; Colorado,5032,855,17.0
08001008550,Census Tract 85.50; Adams County; Colorado,8191,447,5.5
08001008551,Census Tract 85.51; Adams County; Colorado,1916,86,4.5
08001008552,Census Tract 85.52; Adams County; Colorado,5493,662,12.1
08001008553,Census Tract 85.53; Adams County; Colorado,5832,376,6.4
08001008554,Census Tract 85.54; Adams County; Colorado,2912,101,3.5
08001008555,Census Tract 85.55; Adams County; Colorado,6621,973,14.7
08001008556,Census Tract 85.56; Adams County; Colorado,6068,258,4.3
08001008557,Census Tract 85.57; Adams County; Colorado,1371,93,6.8
08001008558,Census Tract 85.58; Adams County; Colorado,4811,465,9.7
08001008559,Census Tract 85.59; Adams County; Colorado,9239,889,9.6
08001008560,Census Tract 85.60; Adams County; Colorado,2470,108,4.4
08001008561,Census Tract 85.61; Adams County; Colorado,5113,27,0.5
08001008562,Census Tract 85.62; Adams County; Colorado,6534,416,6.4
08001008563,Census Tract 85.63; Adams County; Colorado,4537,513,11.3
08001008564,Census Tract 85.64; Adams County; Colorado,1502,37,2.5
08001008565,Census Tract 85.65; Adams County; Colorado,7268,640,8.8
08001008603,Census Tract 86.03; Adams County; Colorado,1881,208,11.1
08001008604,Census Tract 86.04; Adams County; Colorado,3852,625,16.2
08001008605,Census Tract 86.05; Adams County; Colorado,4099,484,11.8
08001008606,Census Tract 86.06; Adams County; Colorado,6384,640,10.0
08001008705,Census Tract 87.05; Adams County; Colorado,5444,934,17.2
08001008706,Census Tract 87.06; Adams County; Colorado,4662,678,14.5
08001008709,Census Tract 87.09; Adams County; Colorado,6837,509,7.4
08001008801,Census Tract 88.01; Adams County; Colorado,5644,933,16.5
08001008802,Census Tract 88.02; Adams County; Colorado,3934,412,10.5
08001008901,Census Tract 89.01; Adams County; Colorado,2485,370,14.9
08001009001,Census Tract 90.01; Adams County; Colorado,5323,432,8.1
08001009003,Census Tract 90.03; Adams County; Colorado,4460,963,21.6
08001009004,Census Tract 90.04; Adams County; Colorado,5570,1508,27.1
08001009101,Census Tract 91.01; Adams County; Colorado,4258,432,10.1
08001009103,Census Tract 91.03; Adams County; Colorado,4484,755,16.8
08001009104,Census Tract 91.04; Adams County; Colorado,7108,1546,21.8
08001009202,Census Tract 92.02; Adams County; Colorado,4340,791,18.2
08001009203,Census Tract 92.03; Adams County; Colorado,4221,1281,30.3
08001009204,Census Tract 92.04; Adams County; Colorado,6591,839,12.7
08001009206,Census Tract 92.06; Adams County; Colorado,2222,153,6.9
08001009207,Census Tract 92.07; Adams County; Colorado,4764,715,15.0
08001009304,Census Tract 93.04; Adams County; Colorado,5520,336,6.1
08001009306,Census Tract 93.06; Adams County; Colorado,4131,513,12.4
08001009307,Census Tract 93.07; Adams County; Colorado,3627,388,10.7
08001009308,Census Tract 93.08; Adams County; Colorado,4198,556,13.2
08001009309,Census Tract 93.09; Adams County; Colorado,3946,723,18.3
08001009310,Census Tract 93.10; Adams County; Colorado,5474,473,8.6
08001009316,Census Tract 93.16; Adams County; Colorado,7145,1817,25.4
08001009318,Census Tract 93.18; Adams County; Colorado,7233,631,8.7
08001009319,Census Tract 93.19; Adams County; Colorado,2409,265,11.0
08001009320,Census Tract 93.20; Adams County; Colorado,2965,520,17.5
08001009321,Census Tract 93.21; Adams County; Colorado,4351,775,17.8
08001009322,Census Tract 93.22; Adams County; Colorado,5133,1032,20.1
08001009323,Census Tract 93.23; Adams County; Colorado,3434,325,9.5
08001009325,Census Tract 93.25; Adams County; Colorado,6010,753,12.5
08001009326,Census Tract 93.26; Adams County; Colorado,2487,79,3.2
08001009327,Census Tract 93.27; Adams County; Colorado,4962,464,9.4
08001009401,Census Tract 94.01; Adams County; Colorado,4529,423,9.3
08001009406,Census Tract 94.06; Adams County; Colorado,4384,245,5.6
08001009407,Census Tract 94.07; Adams County; Colorado,5312,1033,19.4
08001009408,Census Tract 94.08; Adams County; Colorado,4742,173,3.6
08001009409,Census Tract 94.09; Adams County; Colorado,5728,216,3.8
08001009410,Census Tract 94.10; Adams County; Colorado,3124,64,2.0
08001009411,Census Tract 94.11; Adams County; Colorado,3133,88,2.8
08001009501,Census Tract 95.01; Adams County; Colorado,3184,333,10.5
08001009502,Census Tract 95.02; Adams County; Colorado,5276,78,1.5
08001009553,Census Tract 95.53; Adams County; Colorado,3587,455,12.7
08001009603,Census Tract 96.03; Adams County; Colorado,6343,1578,24.9
08001009604,Census Tract 96.04; Adams County; Colorado,3779,342,9.1
08001009606,Census Tract 96.06; Adams County; Colorado,3092,230,7.4
08001009607,Census Tract 96.07; Adams County; Colorado,4096,377,9.2
08001009608,Census Tract 96.08; Adams County; Colorado,2827,459,16.2
08001009751,Census Tract 97.51; Adams County; Colorado,3884,1410,36.3
08001009752,Census Tract 97.52; Adams County; Colorado,3163,535,16.9
08001015000,Census Tract 150; Adams County; Colorado,2263,196,8.7
08001060001,Census Tract 600.01; Adams County; Colorado,2974,108,3.6
08001060002,Census Tract 600.02; Adams County; Colorado,5127,167,3.3
08001060100,Census Tract 601; Adams County; Colorado,7667,763,10.0
08001060200,Census Tract 602; Adams County; Colorado,4721,357,7.6
08001061200,Census Tract 612; Adams County; Colorado,4271,166,3.9
08001988700,Census Tract 9887; Adams County; Colorado,0,0,
08059009806,Census Tract 98.06; Jefferson County; Colorado,4706,76,1.6
08059009807,Census Tract 98.07; Jefferson County; Colorado,1719,27,1.6
08059009815,Census Tract 98.15; Jefferson County; Colorado,5126,37,0.7
08059009823,Census Tract 98.23; Jefferson County; Colorado,4308,150,3.5
08059009824,Census Tract 98.24; Jefferson County; Colorado,4889,289,5.9
08059009827,Census Tract 98.27; Jefferson County; Colorado,5614,319,5.7
08059009828,Census Tract 98.28; Jefferson County; Colorado,5203,603,11.6
08059009829,Census Tract 98.29; Jefferson County; Colorado,1736,28,1.6
08059009830,Census Tract 98.30; Jefferson County; Colorado,2277,161,7.1
08059009831,Census Tract 98.31; Jefferson County; Colorado,3121,173,5.5
08059009832,Census Tract 98.32; Jefferson County; Colorado,2285,136,6.0
08059009833,Census Tract 98.33; Jefferson County; Colorado,5603,182,3.2
08059009834,Census Tract 98.34; Jefferson County; Colorado,4592,307,6.7
08059009835,Census Tract 98.35; Jefferson County; Colorado,3421,56,1.6
08059009836,Census Tract 98.36; Jefferson County; Colorado,3947,60,1.5
08059009837,Census Tract 98.37; Jefferson County; Colorado,8574,171,2.0
08059009838,Census Tract 98.38; Jefferson County; Colorado,5244,39,0.7
08059009839,Census Tract 98.39; Jefferson County; Colorado,2245,20,0.9
08059009840,Census Tract 98.40; Jefferson County; Colorado,3423,70,2.0
08059009841,Census Tract 98.41; Jefferson County; Colorado,2064,148,7.2
08059009842,Census Tract 98.42; Jefferson County; Colorado,3201,47,1.5
08059009845,Census Tract 98.45; Jefferson County; Colorado,4123,29,0.7
08059009846,Census Tract 98.46; Jefferson County; Colorado,4990,222,4.4
08059009847,Census Tract 98.47; Jefferson County; Colorado,3362,194,5.8
08059009848,Census Tract 98.48; Jefferson County; Colorado,2589,125,4.8
08059009850,Census Tract 98.50; Jefferson County; Colorado,2531,20,0.8
08059009851,Census Tract 98.51; Jefferson County; Colorado,3854,158,4.1
08059009852,Census Tract 98.52; Jefferson County; Colorado,4888,45,0.9
08059009853,Census Tract 98.53; Jefferson County; Colorado,2695,16,0.6
08059009854,Census Tract 98.54; Jefferson County; Colorado,5252,92,1.8
08059009855,Census Tract 98.55; Jefferson County; Colorado,3043,25,0.8
08059009856,Census Tract 98.56; Jefferson County; Colorado,2707,193,7.1
08059009857,Census Tract 98.57; Jefferson County; Colorado,2945,169,5.7
08059009858,Census Tract 98.58; Jefferson County; Colorado,3605,304,8.4
08059009901,Census Tract 99.01; Jefferson County; Colorado,3192,92,2.9
08059010001,Census Tract 100.01; Jefferson County; Colorado,3286,113,3.4
08059010100,Census Tract 101; Jefferson County; Colorado,4846,254,5.2
08059010205,Census Tract 102.05; Jefferson County; Colorado,2521,120,4.8
08059010206,Census Tract 102.06; Jefferson County; Colorado,4098,121,3.0
08059010208,Census Tract 102.08; Jefferson County; Colorado,5559,125,2.2
08059010209,Census Tract 102.09; Jefferson County; Colorado,7130,686,9.6
08059010210,Census Tract 102.10; Jefferson County; Colorado,3187,47,1.5
08059010211,Census Tract 102.11; Jefferson County; Colorado,2936,124,4.2
08059010212,Census Tract 102.12; Jefferson County; Colorado,4201,468,11.1
08059010213,Census Tract 102.13; Jefferson County; Colorado,4574,314,6.9
08059010303,Census Tract 103.03; Jefferson County; Colorado,5269,254,4.8
08059010304,Census Tract 103.04; Jefferson County; Colorado,2322,96,4.1
08059010305,Census Tract 103.05; Jefferson County; Colorado,3510,335,9.5
08059010306,Census Tract 103.06; Jefferson County; Colorado,2640,141,5.3
08059010307,Census Tract 103.07; Jefferson County; Colorado,4615,122,2.6
08059010308,Census Tract 103.08; Jefferson County; Colorado,7062,546,7.7
