GEO_ID,Tract_Name,County,Total_Pop_5plus,LEP_Pop,Pct_LEP
08001007801,Census Tract 78.01; Adams County; Colorado,Adams County,3791,2592,68.4
08001007802,Census Tract 78.02; Adams County; Colorado,Adams County,3726,2934,78.7
08001007900,Census Tract 79; Adams County; Colorado,Adams County,6146,3449,56.1
08001008000,Census Tract 80; Adams County; Colorado,Adams County,5352,3902,72.9
08001008100,Census Tract 81; Adams County; Colorado,Adams County,1655,360,21.8
08001008200,Census Tract 82; Adams County; Colorado,Adams County,6029,4605,76.4
08001008308,Census Tract 83.08; Adams County; Colorado,Adams County,5781,5073,87.8
08001008309,Census Tract 83.09; Adams County; Colorado,Adams County,3558,2981,83.8
08001008354,Census Tract 83.54; Adams County; Colorado,Adams County,7524,3297,43.8
08001008355,Census Tract 83.55; Adams County; Colorado,Adams County,4571,3282,71.8
08001008401,Census Tract 84.01; Adams County; Colorado,Adams County,5690,1483,26.1
08001008402,Census Tract 84.02; Adams County; Colorado,Adams County,5464,1420,26.0
08001008505,Census Tract 85.05; Adams County; Colorado,Adams County,6800,2425,35.7
08001008506,Census Tract 85.06; Adams County; Colorado,Adams County,6001,1465,24.4
08001008507,Census Tract 85.07; Adams County; Colorado,Adams County,5949,2058,34.6
08001008508,Census Tract 85.08; Adams County; Colorado,Adams County,5536,2589,46.8
08001008524,Census Tract 85.24; Adams County; Colorado,Adams County,8450,1439,17.0
08001008526,Census Tract 85.26; Adams County; Colorado,Adams County,7319,1339,18.3
08001008533,Census Tract 85.33; Adams County; Colorado,Adams County,7565,2339,30.9
08001008534,Census Tract 85.34; Adams County; Colorado,Adams County,4093,1448,35.4
08001008535,Census Tract 85.35; Adams County; Colorado,Adams County,4475,1933,43.2
08001008536,Census Tract 85.36; Adams County; Colorado,Adams County,4792,1213,25.3
08001008538,Census Tract 85.38; Adams County; Colorado,Adams County,13533,5189,38.3
08001008540,Census Tract 85.40; Adams County; Colorado,Adams County,9980,2510,25.2
08001008544,Census Tract 85.44; Adams County; Colorado,Adams County,5823,975,16.7
08001008545,Census Tract 85.45; Adams County; Colorado,Adams County,6127,1505,24.6
08001008546,Census Tract 85.46; Adams County; Colorado,Adams County,3212,744,23.2
08001008547,Census Tract 85.47; Adams County; Colorado,Adams County,3164,1047,33.1
08001008548,Census Tract 85.48; Adams County; Colorado,Adams County,1413,327,23.1
08001008549,Census Tract 85.49; Adams County; Colorado,Adams County,4679,1864,39.8
08001008550,Census Tract 85.50; Adams County; Colorado,Adams County,7320,1868,25.5
08001008551,Census Tract 85.51; Adams County; Colorado,Adams County,1837,559,30.4
08001008552,Census Tract 85.52; Adams County; Colorado,Adams County,5086,1487,29.2
08001008553,Census Tract 85.53; Adams County; Colorado,Adams County,5305,1573,29.7
08001008554,Census Tract 85.54; Adams County; Colorado,Adams County,2784,985,35.4
08001008555,Census Tract 85.55; Adams County; Colorado,Adams County,6293,2875,45.7
08001008556,Census Tract 85.56; Adams County; Colorado,Adams County,5751,2065,35.9
08001008557,Census Tract 85.57; Adams County; Colorado,Adams County,1282,450,35.1
08001008558,Census Tract 85.58; Adams County; Colorado,Adams County,4289,1236,28.8
08001008559,Census Tract 85.59; Adams County; Colorado,Adams County,8918,3166,35.5
08001008560,Census Tract 85.60; Adams County; Colorado,Adams County,2309,708,30.7
08001008561,Census Tract 85.61; Adams County; Colorado,Adams County,5057,1781,35.2
08001008562,Census Tract 85.62; Adams County; Colorado,Adams County,6113,1437,23.5
08001008563,Census Tract 85.63; Adams County; Colorado,Adams County,4198,1135,27.0
08001008564,Census Tract 85.64; Adams County; Colorado,Adams County,1478,453,30.6
08001008565,Census Tract 85.65; Adams County; Colorado,Adams County,6990,2224,31.8
08001008603,Census Tract 86.03; Adams County; Colorado,Adams County,1699,963,56.7
08001008604,Census Tract 86.04; Adams County; Colorado,Adams County,4298,1425,33.2
08001008605,Census Tract 86.05; Adams County; Colorado,Adams County,3851,1669,43.3
08001008606,Census Tract 86.06; Adams County; Colorado,Adams County,5830,4025,69.0
08001008705,Census Tract 87.05; Adams County; Colorado,Adams County,5069,3992,78.8
08001008706,Census Tract 87.06; Adams County; Colorado,Adams County,4589,3221,70.2
08001008709,Census Tract 87.09; Adams County; Colorado,Adams County,6452,4389,68.0
08001008801,Census Tract 88.01; Adams County; Colorado,Adams County,5027,3910,77.8
08001008802,Census Tract 88.02; Adams County; Colorado,Adams County,3793,2836,74.8
08001008901,Census Tract 89.01; Adams County; Colorado,Adams County,2388,1494,62.6
08001009001,Census Tract 90.01; Adams County; Colorado,Adams County,4963,3090,62.3
08001009003,Census Tract 90.03; Adams County; Colorado,Adams County,4300,2180,50.7
08001009004,Census Tract 90.04; Adams County; Colorado,Adams County,5278,2775,52.6
08001009101,Census Tract 91.01; Adams County; Colorado,Adams County,3922,2415,61.6
08001009103,Census Tract 91.03; Adams County; Colorado,Adams County,4123,2568,62.3
08001009104,Census Tract 91.04; Adams County; Colorado,Adams County,6273,4382,69.9
08001009202,Census Tract 92.02; Adams County; Colorado,Adams County,4088,2430,59.4
08001009203,Census Tract 92.03; Adams County; Colorado,Adams County,3945,2756,69.9
08001009204,Census Tract 92.04; Adams County; Colorado,Adams County,6185,2518,40.7
08001009206,Census Tract 92.06; Adams County; Colorado,Adams County,2142,554,25.9
08001009207,Census Tract 92.07; Adams County; Colorado,Adams County,4644,3820,82.3
08001009304,Census Tract 93.04; Adams County; Colorado,Adams County,5213,1108,21.3
08001009306,Census Tract 93.06; Adams County; Colorado,Adams County,3941,2820,71.6
08001009307,Census Tract 93.07; Adams County; Colorado,Adams County,3416,2510,73.5
08001009308,Census Tract 93.08; Adams County; Colorado,Adams County,4082,2307,56.5
08001009309,Census Tract 93.09; Adams County; Colorado,Adams County,3766,1855,49.3
08001009310,Census Tract 93.10; Adams County; Colorado,Adams County,4992,3064,61.4
08001009316,Census Tract 93.16; Adams County; Colorado,Adams County,6515,5061,77.7
08001009318,Census Tract 93.18; Adams County; Colorado,Adams County,6594,3977,60.3
08001009319,Census Tract 93.19; Adams County; Colorado,Adams County,2104,1565,74.4
08001009320,Census Tract 93.20; Adams County; Colorado,Adams County,2924,1669,57.1
08001009321,Census Tract 93.21; Adams County; Colorado,Adams County,3868,2462,63.7
08001009322,Census Tract 93.22; Adams County; Colorado,Adams County,4989,2782,55.8
08001009323,Census Tract 93.23; Adams County; Colorado,Adams County,3224,1089,33.8
08001009325,Census Tract 93.25; Adams County; Colorado,Adams County,5698,1426,25.0
08001009326,Census Tract 93.26; Adams County; Colorado,Adams County,2402,882,36.7
08001009327,Census Tract 93.27; Adams County; Colorado,Adams County,4748,2719,57.3
08001009401,Census Tract 94.01; Adams County; Colorado,Adams County,4338,2039,47.0
08001009406,Census Tract 94.06; Adams County; Colorado,Adams County,4237,1142,27.0
08001009407,Census Tract 94.07; Adams County; Colorado,Adams County,4783,1875,39.2
08001009408,Census Tract 94.08; Adams County; Colorado,Adams County,4612,1056,22.9
08001009409,Census Tract 94.09; Adams County; Colorado,Adams County,5421,1662,30.7
08001009410,Census Tract 94.10; Adams County; Colorado,Adams County,3020,997,33.0
08001009411,Census Tract 94.11; Adams County; Colorado,Adams County,3041,1018,33.5
08001009501,Census Tract 95.01; Adams County; Colorado,Adams County,2999,1225,40.8
08001009502,Census Tract 95.02; Adams County; Colorado,Adams County,4909,3397,69.2
08001009553,Census Tract 95.53; Adams County; Colorado,Adams County,3290,2289,69.6
08001009603,Census Tract 96.03; Adams County; Colorado,Adams County,5881,2744,46.7
08001009604,Census Tract 96.04; Adams County; Colorado,Adams County,3564,1744,48.9
08001009606,Census Tract 96.06; Adams County; Colorado,Adams County,2782,1694,60.9
08001009607,Census Tract 96.07; Adams County; Colorado,Adams County,3825,1486,38.8
08001009608,Census Tract 96.08; Adams County; Colorado,Adams County,2582,1131,43.8
08001009751,Census Tract 97.51; Adams County; Colorado,Adams County,3667,2759,75.2
08001009752,Census Tract 97.52; Adams County; Colorado,Adams County,3037,1149,37.8
08001015000,Census Tract 150; Adams County; Colorado,Adams County,2274,1353,59.5
08001060001,Census Tract 600.01; Adams County; Colorado,Adams County,2804,311,11.1
08001060002,Census Tract 600.02; Adams County; Colorado,Adams County,4911,1060,21.6
08001060100,Census Tract 601; Adams County; Colorado,Adams County,7348,1987,27.0
08001060200,Census Tract 602; Adams County; Colorado,Adams County,4694,860,18.3
08001061200,Census Tract 612; Adams County; Colorado,Adams County,3966,629,15.9
08001988700,Census Tract 9887; Adams County; Colorado,Adams County,0,0,
08059009806,Census Tract 98.06; Jefferson County; Colorado,Jefferson County,4505,1208,26.8
08059009807,Census Tract 98.07; Jefferson County; Colorado,Jefferson County,1624,584,36.0
08059009815,Census Tract 98.15; Jefferson County; Colorado,Jefferson County,4877,1001,20.5
08059009823,Census Tract 98.23; Jefferson County; Colorado,Jefferson County,4044,846,20.9
08059009824,Census Tract 98.24; Jefferson County; Colorado,Jefferson County,4522,1422,31.4
08059009827,Census Tract 98.27; Jefferson County; Colorado,Jefferson County,5482,1129,20.6
08059009828,Census Tract 98.28; Jefferson County; Colorado,Jefferson County,4950,1100,22.2
08059009829,Census Tract 98.29; Jefferson County; Colorado,Jefferson County,1609,271,16.8
08059009830,Census Tract 98.30; Jefferson County; Colorado,Jefferson County,2133,332,15.6
08059009831,Census Tract 98.31; Jefferson County; Colorado,Jefferson County,3045,548,18.0
08059009832,Census Tract 98.32; Jefferson County; Colorado,Jefferson County,2114,451,21.3
08059009833,Census Tract 98.33; Jefferson County; Colorado,Jefferson County,5063,1999,39.5
08059009834,Census Tract 98.34; Jefferson County; Colorado,Jefferson County,4327,1364,31.5
08059009835,Census Tract 98.35; Jefferson County; Colorado,Jefferson County,3180,935,29.4
08059009836,Census Tract 98.36; Jefferson County; Colorado,Jefferson County,3722,1231,33.1
08059009837,Census Tract 98.37; Jefferson County; Colorado,Jefferson County,8261,1421,17.2
08059009838,Census Tract 98.38; Jefferson County; Colorado,Jefferson County,4920,1250,25.4
08059009839,Census Tract 98.39; Jefferson County; Colorado,Jefferson County,2122,323,15.2
08059009840,Census Tract 98.40; Jefferson County; Colorado,Jefferson County,3290,937,28.5
08059009841,Census Tract 98.41; Jefferson County; Colorado,Jefferson County,1994,624,31.3
08059009842,Census Tract 98.42; Jefferson County; Colorado,Jefferson County,3049,859,28.2
08059009845,Census Tract 98.45; Jefferson County; Colorado,Jefferson County,3938,1234,31.3
08059009846,Census Tract 98.46; Jefferson County; Colorado,Jefferson County,4768,1496,31.4
08059009847,Census Tract 98.47; Jefferson County; Colorado,Jefferson County,3185,783,24.6
08059009848,Census Tract 98.48; Jefferson County; Colorado,Jefferson County,2587,1045,40.4
08059009850,Census Tract 98.50; Jefferson County; Colorado,Jefferson County,2336,835,35.7
08059009851,Census Tract 98.51; Jefferson County; Colorado,Jefferson County,3756,1109,29.5
08059009852,Census Tract 98.52; Jefferson County; Colorado,Jefferson County,4701,1073,22.8
08059009853,Census Tract 98.53; Jefferson County; Colorado,Jefferson County,2383,425,17.8
08059009854,Census Tract 98.54; Jefferson County; Colorado,Jefferson County,4991,1220,24.4
08059009855,Census Tract 98.55; Jefferson County; Colorado,Jefferson County,3003,665,22.1
08059009856,Census Tract 98.56; Jefferson County; Colorado,Jefferson County,2691,342,12.7
08059009857,Census Tract 98.57; Jefferson County; Colorado,Jefferson County,2858,334,11.7
08059009858,Census Tract 98.58; Jefferson County; Colorado,Jefferson County,3479,1125,32.3
08059009901,Census Tract 99.01; Jefferson County; Colorado,Jefferson County,3138,740,23.6
08059010001,Census Tract 100.01; Jefferson County; Colorado,Jefferson County,4113,786,19.1
08059010100,Census Tract 101; Jefferson County; Colorado,Jefferson County,5073,962,19.0
08059010205,Census Tract 102.05; Jefferson County; Colorado,Jefferson County,2470,767,31.1
08059010206,Census Tract 102.06; Jefferson County; Colorado,Jefferson County,3954,939,23.7
08059010208,Census Tract 102.08; Jefferson County; Colorado,Jefferson County,5181,1914,36.9
08059010209,Census Tract 102.09; Jefferson County; Colorado,Jefferson County,6862,3077,44.8
08059010210,Census Tract 102.10; Jefferson County; Colorado,Jefferson County,3045,762,25.0
08059010211,Census Tract 102.11; Jefferson County; Colorado,Jefferson County,2973,1711,57.6
08059010212,Census Tract 102.12; Jefferson County; Colorado,Jefferson County,4109,891,21.7
08059010213,Census Tract 102.13; Jefferson County; Colorado,Jefferson County,4403,880,20.0
08059010303,Census Tract 103.03; Jefferson County; Colorado,Jefferson County,5164,1353,26.2
08059010304,Census Tract 103.04; Jefferson County; Colorado,Jefferson County,2176,567,26.1
08059010305,Census Tract 103.05; Jefferson County; Colorado,Jefferson County,3362,740,22.0
08059010306,Census Tract 103.06; Jefferson County; Colorado,Jefferson County,2506,1001,39.9
08059010307,Census Tract 103.07; Jefferson County; Colorado,Jefferson County,4295,1017,23.7
08059010308,Census Tract 103.08; Jefferson County; Colorado,Jefferson County,6778,1368,20.2
08059010402,Census Tract 104.02; Jefferson County; Colorado,Jefferson County,5380,1950,36.2
08059010403,Census Tract 104.03; Jefferson County; Colorado,Jefferson County,5217,1867,35.8
08059010405,Census Tract 104.05; Jefferson County; Colorado,Jefferson County,2771,677,24.4
08059010406,Census Tract 104.06; Jefferson County; Colorado,Jefferson County,2781,1114,40.1
08059010502,Census Tract 105.02; Jefferson County; Colorado,Jefferson County,5153,1412,27.4
08059010503,Census Tract 105.03; Jefferson County; Colorado,Jefferson County,4344,1562,36.0
08059010504,Census Tract 105.04; Jefferson County; Colorado,Jefferson County,2943,1143,38.8
08059010603,Census Tract 106.03; Jefferson County; Colorado,Jefferson County,3476,1144,32.9
08059010604,Census Tract 106.04; Jefferson County; Colorado,Jefferson County,2078,562,27.0
08059010701,Census Tract 107.01; Jefferson County; Colorado,Jefferson County,4487,1456,32.4
08059010702,Census Tract 107.02; Jefferson County; Colorado,Jefferson County,4992,2182,43.7
08059010801,Census Tract 108.01; Jefferson County; Colorado,Jefferson County,2287,815,35.6
08059010901,Census Tract 109.01; Jefferson County; Colorado,Jefferson County,5235,1505,28.7
08059010902,Census Tract 109.02; Jefferson County; Colorado,Jefferson County,2964,857,28.9
08059011000,Census Tract 110; Jefferson County; Colorado,Jefferson County,5254,2250,42.8
08059011101,Census Tract 111.01; Jefferson County; Colorado,Jefferson County,3464,1094,31.6
08059011102,Census Tract 111.02; Jefferson County; Colorado,Jefferson County,2781,726,26.1
08059011202,Census Tract 112.02; Jefferson County; Colorado,Jefferson County,4930,1453,29.5
08059011300,Census Tract 113; Jefferson County; Colorado,Jefferson County,3062,641,20.9
08059011401,Census Tract 114.01; Jefferson County; Colorado,Jefferson County,2761,900,32.6
08059011402,Census Tract 114.02; Jefferson County; Colorado,Jefferson County,4040,1719,42.5
08059011551,Census Tract 115.51; Jefferson County; Colorado,Jefferson County,3901,1153,29.6
08059011552,Census Tract 115.52; Jefferson County; Colorado,Jefferson County,3111,710,22.8
08059011601,Census Tract 116.01; Jefferson County; Colorado,Jefferson County,3893,2098,53.9
08059011602,Census Tract 116.02; Jefferson County; Colorado,Jefferson County,3764,1851,49.2
08059011701,Census Tract 117.01; Jefferson County; Colorado,Jefferson County,4509,1120,24.8
08059011702,Census Tract 117.02; Jefferson County; Colorado,Jefferson County,5291,1419,26.8
08059011708,Census Tract 117.08; Jefferson County; Colorado,Jefferson County,3561,1144,32.1
08059011709,Census Tract 117.09; Jefferson County; Colorado,Jefferson County,3144,934,29.7
08059011710,Census Tract 117.10; Jefferson County; Colorado,Jefferson County,3760,1065,28.3
08059011711,Census Tract 117.11; Jefferson County; Colorado,Jefferson County,4026,825,20.5
08059011712,Census Tract 117.12; Jefferson County; Colorado,Jefferson County,3988,976,24.5
08059011720,Census Tract 117.20; Jefferson County; Colorado,Jefferson County,4989,1100,22.0
08059011721,Census Tract 117.21; Jefferson County; Colorado,Jefferson County,2942,730,24.8
08059011723,Census Tract 117.23; Jefferson County; Colorado,Jefferson County,3519,671,19.1
08059011724,Census Tract 117.24; Jefferson County; Colorado,Jefferson County,7721,1354,17.5
08059011725,Census Tract 117.25; Jefferson County; Colorado,Jefferson County,1785,416,23.3
