GEO_ID,Tract_Name,County,Median_Age,Median_Age_Male,Median_Age_Female
08001007801,"Census Tract 78.01, Adams County, CO",Adams County,28.1,28.2,28.0
08001007802,"Census Tract 78.02, Adams County, CO",Adams County,31.5,33.5,30.8
08001007900,"Census Tract 79, Adams County, CO",Adams County,31.5,30.6,32.8
08001008000,"Census Tract 80, Adams County, CO",Adams County,35.8,35.5,36.3
08001008100,"Census Tract 81, Adams County, CO",Adams County,32.1,32.7,30.1
08001008200,"Census Tract 82, Adams County, CO",Adams County,33.3,31.7,34.1
08001008308,"Census Tract 83.08, Adams County, CO",Adams County,29.9,29.2,33.4
08001008309,"Census Tract 83.09, Adams County, CO",Adams County,27.0,28.7,24.2
08001008354,"Census Tract 83.54, Adams County, CO",Adams County,30.2,30.9,29.7
08001008355,"Census Tract 83.55, Adams County, CO",Adams County,31.7,28.8,37.0
08001008401,"Census Tract 84.01, Adams County, CO",Adams County,36.8,36.3,37.2
08001008402,"Census Tract 84.02, Adams County, CO",Adams County,33.7,35.4,33.0
08001008505,"Census Tract 85.05, Adams County, CO",Adams County,37.5,38.8,34.4
08001008506,"Census Tract 85.06, Adams County, CO",Adams County,31.1,30.9,31.6
08001008507,"Census Tract 85.07, Adams County, CO",Adams County,37.0,37.9,34.4
08001008508,"Census Tract 85.08, Adams County, CO",Adams County,36.8,34.9,39.8
08001008524,"Census Tract 85.24, Adams County, CO",Adams County,36.9,36.2,38.5
08001008526,"Census Tract 85.26, Adams County, CO",Adams County,39.0,38.8,39.1
08001008533,"Census Tract 85.33, Adams County, CO",Adams County,33.7,32.7,34.4
08001008534,"Census Tract 85.34, Adams County, CO",Adams County,37.8,38.8,36.5
08001008535,"Census Tract 85.35, Adams County, CO",Adams County,31.8,31.6,32.1
08001008536,"Census Tract 85.36, Adams County, CO",Adams County,36.9,35.9,39.6
08001008538,"Census Tract 85.38, Adams County, CO",Adams County,33.5,34.0,33.2
08001008540,"Census Tract 85.40, Adams County, CO",Adams County,38.4,38.3,38.7
08001008544,"Census Tract 85.44, Adams County, CO",Adams County,31.0,31.9,30.0
08001008545,"Census Tract 85.45, Adams County, CO",Adams County,40.1,37.2,41.7
08001008546,"Census Tract 85.46, Adams County, CO",Adams County,33.2,32.8,34.3
08001008547,"Census Tract 85.47, Adams County, CO",Adams County,34.7,32.8,38.6
08001008548,"Census Tract 85.48, Adams County, CO",Adams County,33.8,30.5,37.4
08001008549,"Census Tract 85.49, Adams County, CO",Adams County,34.5,33.5,35.4
08001008550,"Census Tract 85.50, Adams County, CO",Adams County,35.7,35.3,35.9
