GEO_ID,NAME,Median_Home_Value
08001007801,Census Tract 78.01; Adams County; Colorado,355000
08001007802,Census Tract 78.02; Adams County; Colorado,383300
08001007900,Census Tract 79; Adams County; Colorado,409600
08001008000,Census Tract 80; Adams County; Colorado,447700
08001008100,Census Tract 81; Adams County; Colorado,-666666666
08001008200,Census Tract 82; Adams County; Colorado,444800
08001008308,Census Tract 83.08; Adams County; Colorado,271600
08001008309,Census Tract 83.09; Adams County; Colorado,90500
08001008354,Census Tract 83.54; Adams County; Colorado,559800
08001008355,Census Tract 83.55; Adams County; Colorado,433900
08001008401,Census Tract 84.01; Adams County; Colorado,511700
08001008402,Census Tract 84.02; Adams County; Colorado,575900
08001008505,Census Tract 85.05; Adams County; Colorado,446800
08001008506,Census Tract 85.06; Adams County; Colorado,425900
08001008507,Census Tract 85.07; Adams County; Colorado,424100
08001008508,Census Tract 85.08; Adams County; Colorado,463000
08001008524,Census Tract 85.24; Adams County; Colorado,582100
08001008526,Census Tract 85.26; Adams County; Colorado,586400
08001008533,Census Tract 85.33; Adams County; Colorado,482300
08001008534,Census Tract 85.34; Adams County; Colorado,453000
08001008535,Census Tract 85.35; Adams County; Colorado,466700
08001008536,Census Tract 85.36; Adams County; Colorado,597400
08001008538,Census Tract 85.38; Adams County; Colorado,598600
08001008540,Census Tract 85.40; Adams County; Colorado,618700
08001008544,Census Tract 85.44; Adams County; Colorado,632000
08001008545,Census Tract 85.45; Adams County; Colorado,607600
08001008546,Census Tract 85.46; Adams County; Colorado,405600
08001008547,Census Tract 85.47; Adams County; Colorado,508200
08001008548,Census Tract 85.48; Adams County; Colorado,466300
08001008549,Census Tract 85.49; Adams County; Colorado,473200
08001008550,Census Tract 85.50; Adams County; Colorado,564200
08001008551,Census Tract 85.51; Adams County; Colorado,707300
08001008552,Census Tract 85.52; Adams County; Colorado,591500
08001008553,Census Tract 85.53; Adams County; Colorado,727500
08001008554,Census Tract 85.54; Adams County; Colorado,483200
08001008555,Census Tract 85.55; Adams County; Colorado,582800
08001008556,Census Tract 85.56; Adams County; Colorado,521300
08001008557,Census Tract 85.57; Adams County; Colorado,633700
08001008558,Census Tract 85.58; Adams County; Colorado,568700
08001008559,Census Tract 85.59; Adams County; Colorado,487600
08001008560,Census Tract 85.60; Adams County; Colorado,900600
08001008561,Census Tract 85.61; Adams County; Colorado,809200
08001008562,Census Tract 85.62; Adams County; Colorado,611500
08001008563,Census Tract 85.63; Adams County; Colorado,491600
08001008564,Census Tract 85.64; Adams County; Colorado,589400
08001008565,Census Tract 85.65; Adams County; Colorado,474900
08001008603,Census Tract 86.03; Adams County; Colorado,396200
08001008604,Census Tract 86.04; Adams County; Colorado,432400
08001008605,Census Tract 86.05; Adams County; Colorado,453200
08001008606,Census Tract 86.06; Adams County; Colorado,407600
08001008705,Census Tract 87.05; Adams County; Colorado,362800
08001008706,Census Tract 87.06; Adams County; Colorado,350700
08001008709,Census Tract 87.09; Adams County; Colorado,380800
08001008801,Census Tract 88.01; Adams County; Colorado,378000
08001008802,Census Tract 88.02; Adams County; Colorado,325800
08001008901,Census Tract 89.01; Adams County; Colorado,386400
08001009001,Census Tract 90.01; Adams County; Colorado,431400
08001009003,Census Tract 90.03; Adams County; Colorado,406000
08001009004,Census Tract 90.04; Adams County; Colorado,359300
08001009101,Census Tract 91.01; Adams County; Colorado,426800
08001009103,Census Tract 91.03; Adams County; Colorado,97400
08001009104,Census Tract 91.04; Adams County; Colorado,440700
08001009202,Census Tract 92.02; Adams County; Colorado,406800
08001009203,Census Tract 92.03; Adams County; Colorado,453300
08001009204,Census Tract 92.04; Adams County; Colorado,565900
08001009206,Census Tract 92.06; Adams County; Colorado,400900
08001009207,Census Tract 92.07; Adams County; Colorado,461200
08001009304,Census Tract 93.04; Adams County; Colorado,429800
08001009306,Census Tract 93.06; Adams County; Colorado,452400
08001009307,Census Tract 93.07; Adams County; Colorado,430200
08001009308,Census Tract 93.08; Adams County; Colorado,396900
08001009309,Census Tract 93.09; Adams County; Colorado,408300
08001009310,Census Tract 93.10; Adams County; Colorado,440400
08001009316,Census Tract 93.16; Adams County; Colorado,86500
08001009318,Census Tract 93.18; Adams County; Colorado,291600
08001009319,Census Tract 93.19; Adams County; Colorado,330800
08001009320,Census Tract 93.20; Adams County; Colorado,203100
08001009321,Census Tract 93.21; Adams County; Colorado,84200
08001009322,Census Tract 93.22; Adams County; Colorado,128500
08001009323,Census Tract 93.23; Adams County; Colorado,492700
08001009325,Census Tract 93.25; Adams County; Colorado,766500
08001009326,Census Tract 93.26; Adams County; Colorado,633600
08001009327,Census Tract 93.27; Adams County; Colorado,572700
08001009401,Census Tract 94.01; Adams County; Colorado,458200
08001009406,Census Tract 94.06; Adams County; Colorado,466200
08001009407,Census Tract 94.07; Adams County; Colorado,493600
08001009408,Census Tract 94.08; Adams County; Colorado,653100
08001009409,Census Tract 94.09; Adams County; Colorado,649100
08001009410,Census Tract 94.10; Adams County; Colorado,704800
08001009411,Census Tract 94.11; Adams County; Colorado,503900
08001009501,Census Tract 95.01; Adams County; Colorado,456000
08001009502,Census Tract 95.02; Adams County; Colorado,558300
08001009553,Census Tract 95.53; Adams County; Colorado,578800
08001009603,Census Tract 96.03; Adams County; Colorado,434900
08001009604,Census Tract 96.04; Adams County; Colorado,426600
08001009606,Census Tract 96.06; Adams County; Colorado,581300
08001009607,Census Tract 96.07; Adams County; Colorado,584100
08001009608,Census Tract 96.08; Adams County; Colorado,482600
08001009751,Census Tract 97.51; Adams County; Colorado,-666666666
08001009752,Census Tract 97.52; Adams County; Colorado,496500
08001015000,Census Tract 150; Adams County; Colorado,282400
08001060001,Census Tract 600.01; Adams County; Colorado,1114800
08001060002,Census Tract 600.02; Adams County; Colorado,682900
08001060100,Census Tract 601; Adams County; Colorado,514300
08001060200,Census Tract 602; Adams County; Colorado,328700
08001061200,Census Tract 612; Adams County; Colorado,677500
08001988700,Census Tract 9887; Adams County; Colorado,-666666666
08059009806,Census Tract 98.06; Jefferson County; Colorado,884300
08059009807,Census Tract 98.07; Jefferson County; Colorado,608000
08059009815,Census Tract 98.15; Jefferson County; Colorado,708900
08059009823,Census Tract 98.23; Jefferson County; Colorado,581400
08059009824,Census Tract 98.24; Jefferson County; Colorado,493800
08059009827,Census Tract 98.27; Jefferson County; Colorado,602400
08059009828,Census Tract 98.28; Jefferson County; Colorado,552300
08059009829,Census Tract 98.29; Jefferson County; Colorado,582500
08059009830,Census Tract 98.30; Jefferson County; Colorado,398700
08059009831,Census Tract 98.31; Jefferson County; Colorado,-666666666
08059009832,Census Tract 98.32; Jefferson County; Colorado,491100
08059009833,Census Tract 98.33; Jefferson County; Colorado,452500
08059009834,Census Tract 98.34; Jefferson County; Colorado,430100
08059009835,Census Tract 98.35; Jefferson County; Colorado,623200
08059009836,Census Tract 98.36; Jefferson County; Colorado,707400
08059009837,Census Tract 98.37; Jefferson County; Colorado,926900
08059009838,Census Tract 98.38; Jefferson County; Colorado,784700
08059009839,Census Tract 98.39; Jefferson County; Colorado,673800
08059009840,Census Tract 98.40; Jefferson County; Colorado,596000
08059009841,Census Tract 98.41; Jefferson County; Colorado,610900
08059009842,Census Tract 98.42; Jefferson County; Colorado,920000
08059009845,Census Tract 98.45; Jefferson County; Colorado,996600
08059009846,Census Tract 98.46; Jefferson County; Colorado,998100
08059009847,Census Tract 98.47; Jefferson County; Colorado,868600
08059009848,Census Tract 98.48; Jefferson County; Colorado,1113600
08059009850,Census Tract 98.50; Jefferson County; Colorado,956500
08059009851,Census Tract 98.51; Jefferson County; Colorado,705400
08059009852,Census Tract 98.52; Jefferson County; Colorado,772000
08059009853,Census Tract 98.53; Jefferson County; Colorado,778000
08059009854,Census Tract 98.54; Jefferson County; Colorado,896500
08059009855,Census Tract 98.55; Jefferson County; Colorado,1028000
08059009856,Census Tract 98.56; Jefferson County; Colorado,111900
08059009857,Census Tract 98.57; Jefferson County; Colorado,889900
08059009858,Census Tract 98.58; Jefferson County; Colorado,770300
08059009901,Census Tract 99.01; Jefferson County; Colorado,969900
08059010001,Census Tract 100.01; Jefferson County; Colorado,778100
08059010100,Census Tract 101; Jefferson County; Colorado,477300
08059010205,Census Tract 102.05; Jefferson County; Colorado,696700
08059010206,Census Tract 102.06; Jefferson County; Colorado,600500
08059010208,Census Tract 102.08; Jefferson County; Colorado,575500
08059010209,Census Tract 102.09; Jefferson County; Colorado,509700
08059010210,Census Tract 102.10; Jefferson County; Colorado,679800
08059010211,Census Tract 102.11; Jefferson County; Colorado,651200
08059010212,Census Tract 102.12; Jefferson County; Colorado,578800
08059010213,Census Tract 102.13; Jefferson County; Colorado,562200
08059010303,Census Tract 103.03; Jefferson County; Colorado,609800
08059010304,Census Tract 103.04; Jefferson County; Colorado,597200
08059010305,Census Tract 103.05; Jefferson County; Colorado,548200
08059010306,Census Tract 103.06; Jefferson County; Colorado,585700
08059010307,Census Tract 103.07; Jefferson County; Colorado,543700
08059010308,Census Tract 103.08; Jefferson County; Colorado,664400
08059010402,Census Tract 104.02; Jefferson County; Colorado,444600
08059010403,Census Tract 104.03; Jefferson County; Colorado,455700
08059010405,Census Tract 104.05; Jefferson County; Colorado,550500
08059010406,Census Tract 104.06; Jefferson County; Colorado,447600
08059010502,Census Tract 105.02; Jefferson County; Colorado,642600
08059010503,Census Tract 105.03; Jefferson County; Colorado,695700
08059010504,Census Tract 105.04; Jefferson County; Colorado,790500
08059010603,Census Tract 106.03; Jefferson County; Colorado,621100
08059010604,Census Tract 106.04; Jefferson County; Colorado,606800
08059010701,Census Tract 107.01; Jefferson County; Colorado,638600
08059010702,Census Tract 107.02; Jefferson County; Colorado,631400
08059010801,Census Tract 108.01; Jefferson County; Colorado,746900
08059010901,Census Tract 109.01; Jefferson County; Colorado,601900
08059010902,Census Tract 109.02; Jefferson County; Colorado,487700
08059011000,Census Tract 110; Jefferson County; Colorado,632500
08059011101,Census Tract 111.01; Jefferson County; Colorado,479700
08059011102,Census Tract 111.02; Jefferson County; Colorado,455500
08059011202,Census Tract 112.02; Jefferson County; Colorado,623800
08059011300,Census Tract 113; Jefferson County; Colorado,637200
08059011401,Census Tract 114.01; Jefferson County; Colorado,530200
08059011402,Census Tract 114.02; Jefferson County; Colorado,331600
08059011551,Census Tract 115.51; Jefferson County; Colorado,483700
08059011552,Census Tract 115.52; Jefferson County; Colorado,568300
08059011601,Census Tract 116.01; Jefferson County; Colorado,565100
08059011602,Census Tract 116.02; Jefferson County; Colorado,534000
08059011701,Census Tract 117.01; Jefferson County; Colorado,607800
08059011702,Census Tract 117.02; Jefferson County; Colorado,527000
08059011708,Census Tract 117.08; Jefferson County; Colorado,582100
08059011709,Census Tract 117.09; Jefferson County; Colorado,565800
08059011710,Census Tract 117.10; Jefferson County; Colorado,537000
08059011711,Census Tract 117.11; Jefferson County; Colorado,576300
08059011712,Census Tract 117.12; Jefferson County; Colorado,608300
08059011720,Census Tract 117.20; Jefferson County; Colorado,729200
08059011721,Census Tract 117.21; Jefferson County; Colorado,804300
08059011723,Census Tract 117.23; Jefferson County; Colorado,401500
08059011724,Census Tract 117.24; Jefferson County; Colorado,902400
08059011725,Census Tract 117.25; Jefferson County; Colorado,626500
08059011726,Census Tract 117.26; Jefferson County; Colorado,702700
08059011727,Census Tract 117.27; Jefferson County; Colorado,591400
08059011728,Census Tract 117.28; Jefferson County; Colorado,632600
08059011729,Census Tract 117.29; Jefferson County; Colorado,372900
08059011730,Census Tract 117.30; Jefferson County; Colorado,368800
08059011731,Census Tract 117.31; Jefferson County; Colorado,531300
08059011732,Census Tract 117.32; Jefferson County; Colorado,348300
08059011733,Census Tract 117.33; Jefferson County; Colorado,471000
08059011803,Census Tract 118.03; Jefferson County; Colorado,476300
08059011804,Census Tract 118.04; Jefferson County; Colorado,546000
08059011806,Census Tract 118.06; Jefferson County; Colorado,466800
