GEO_ID,NAME,Median_HH_Income
08001007801,Census Tract 78.01; Adams County; Colorado,49202
08001007802,Census Tract 78.02; Adams County; Colorado,52859
08001007900,Census Tract 79; Adams County; Colorado,76688
08001008000,Census Tract 80; Adams County; Colorado,93167
08001008100,Census Tract 81; Adams County; Colorado,49500
08001008200,Census Tract 82; Adams County; Colorado,116961
08001008308,Census Tract 83.08; Adams County; Colorado,58523
08001008309,Census Tract 83.09; Adams County; Colorado,72115
08001008354,Census Tract 83.54; Adams County; Colorado,128838
08001008355,Census Tract 83.55; Adams County; Colorado,84250
08001008401,Census Tract 84.01; Adams County; Colorado,107661
08001008402,Census Tract 84.02; Adams County; Colorado,111806
08001008505,Census Tract 85.05; Adams County; Colorado,97083
08001008506,Census Tract 85.06; Adams County; Colorado,60086
08001008507,Census Tract 85.07; Adams County; Colorado,110938
08001008508,Census Tract 85.08; Adams County; Colorado,79984
08001008524,Census Tract 85.24; Adams County; Colorado,142096
08001008526,Census Tract 85.26; Adams County; Colorado,120580
08001008533,Census Tract 85.33; Adams County; Colorado,85322
08001008534,Census Tract 85.34; Adams County; Colorado,104803
08001008535,Census Tract 85.35; Adams County; Colorado,119118
08001008536,Census Tract 85.36; Adams County; Colorado,150243
08001008538,Census Tract 85.38; Adams County; Colorado,161313
08001008540,Census Tract 85.40; Adams County; Colorado,165386
08001008544,Census Tract 85.44; Adams County; Colorado,138032
08001008545,Census Tract 85.45; Adams County; Colorado,142717
08001008546,Census Tract 85.46; Adams County; Colorado,92093
08001008547,Census Tract 85.47; Adams County; Colorado,109798
08001008548,Census Tract 85.48; Adams County; Colorado,100625
08001008549,Census Tract 85.49; Adams County; Colorado,143819
08001008550,Census Tract 85.50; Adams County; Colorado,118438
08001008551,Census Tract 85.51; Adams County; Colorado,155074
08001008552,Census Tract 85.52; Adams County; Colorado,95268
08001008553,Census Tract 85.53; Adams County; Colorado,143148
08001008554,Census Tract 85.54; Adams County; Colorado,73869
08001008555,Census Tract 85.55; Adams County; Colorado,68165
08001008556,Census Tract 85.56; Adams County; Colorado,123083
08001008557,Census Tract 85.57; Adams County; Colorado,123750
08001008558,Census Tract 85.58; Adams County; Colorado,142015
08001008559,Census Tract 85.59; Adams County; Colorado,121717
08001008560,Census Tract 85.60; Adams County; Colorado,225000
08001008561,Census Tract 85.61; Adams County; Colorado,142639
08001008562,Census Tract 85.62; Adams County; Colorado,148455
08001008563,Census Tract 85.63; Adams County; Colorado,150469
08001008564,Census Tract 85.64; Adams County; Colorado,150652
08001008565,Census Tract 85.65; Adams County; Colorado,76618
08001008603,Census Tract 86.03; Adams County; Colorado,70398
08001008604,Census Tract 86.04; Adams County; Colorado,109167
08001008605,Census Tract 86.05; Adams County; Colorado,103531
08001008606,Census Tract 86.06; Adams County; Colorado,80813
08001008705,Census Tract 87.05; Adams County; Colorado,58564
08001008706,Census Tract 87.06; Adams County; Colorado,45475
08001008709,Census Tract 87.09; Adams County; Colorado,65329
08001008801,Census Tract 88.01; Adams County; Colorado,75714
08001008802,Census Tract 88.02; Adams County; Colorado,72529
08001008901,Census Tract 89.01; Adams County; Colorado,103140
08001009001,Census Tract 90.01; Adams County; Colorado,80896
08001009003,Census Tract 90.03; Adams County; Colorado,95710
08001009004,Census Tract 90.04; Adams County; Colorado,67388
08001009101,Census Tract 91.01; Adams County; Colorado,101477
08001009103,Census Tract 91.03; Adams County; Colorado,69679
08001009104,Census Tract 91.04; Adams County; Colorado,97577
08001009202,Census Tract 92.02; Adams County; Colorado,90656
08001009203,Census Tract 92.03; Adams County; Colorado,71146
08001009204,Census Tract 92.04; Adams County; Colorado,94583
08001009206,Census Tract 92.06; Adams County; Colorado,102983
08001009207,Census Tract 92.07; Adams County; Colorado,87153
08001009304,Census Tract 93.04; Adams County; Colorado,66789
08001009306,Census Tract 93.06; Adams County; Colorado,98000
08001009307,Census Tract 93.07; Adams County; Colorado,71813
08001009308,Census Tract 93.08; Adams County; Colorado,74404
08001009309,Census Tract 93.09; Adams County; Colorado,75046
08001009310,Census Tract 93.10; Adams County; Colorado,70990
08001009316,Census Tract 93.16; Adams County; Colorado,51424
08001009318,Census Tract 93.18; Adams County; Colorado,61731
08001009319,Census Tract 93.19; Adams County; Colorado,53312
08001009320,Census Tract 93.20; Adams County; Colorado,47126
08001009321,Census Tract 93.21; Adams County; Colorado,60188
08001009322,Census Tract 93.22; Adams County; Colorado,85101
08001009323,Census Tract 93.23; Adams County; Colorado,72298
08001009325,Census Tract 93.25; Adams County; Colorado,94317
08001009326,Census Tract 93.26; Adams County; Colorado,102356
08001009327,Census Tract 93.27; Adams County; Colorado,84688
08001009401,Census Tract 94.01; Adams County; Colorado,110491
08001009406,Census Tract 94.06; Adams County; Colorado,103839
08001009407,Census Tract 94.07; Adams County; Colorado,78038
08001009408,Census Tract 94.08; Adams County; Colorado,151250
08001009409,Census Tract 94.09; Adams County; Colorado,129510
08001009410,Census Tract 94.10; Adams County; Colorado,172083
08001009411,Census Tract 94.11; Adams County; Colorado,103702
08001009501,Census Tract 95.01; Adams County; Colorado,66528
08001009502,Census Tract 95.02; Adams County; Colorado,117303
08001009553,Census Tract 95.53; Adams County; Colorado,94547
08001009603,Census Tract 96.03; Adams County; Colorado,55699
08001009604,Census Tract 96.04; Adams County; Colorado,49295
08001009606,Census Tract 96.06; Adams County; Colorado,81359
08001009607,Census Tract 96.07; Adams County; Colorado,70673
08001009608,Census Tract 96.08; Adams County; Colorado,94875
08001009751,Census Tract 97.51; Adams County; Colorado,66306
08001009752,Census Tract 97.52; Adams County; Colorado,90531
08001015000,Census Tract 150; Adams County; Colorado,66912
08001060001,Census Tract 600.01; Adams County; Colorado,106458
08001060002,Census Tract 600.02; Adams County; Colorado,168108
08001060100,Census Tract 601; Adams County; Colorado,119457
08001060200,Census Tract 602; Adams County; Colorado,80898
08001061200,Census Tract 612; Adams County; Colorado,160517
08001988700,Census Tract 9887; Adams County; Colorado,-666666666
08059009806,Census Tract 98.06; Jefferson County; Colorado,147463
08059009807,Census Tract 98.07; Jefferson County; Colorado,105833
08059009815,Census Tract 98.15; Jefferson County; Colorado,161512
08059009823,Census Tract 98.23; Jefferson County; Colorado,147763
08059009824,Census Tract 98.24; Jefferson County; Colorado,121756
08059009827,Census Tract 98.27; Jefferson County; Colorado,121279
08059009828,Census Tract 98.28; Jefferson County; Colorado,137500
08059009829,Census Tract 98.29; Jefferson County; Colorado,132750
08059009830,Census Tract 98.30; Jefferson County; Colorado,114722
08059009831,Census Tract 98.31; Jefferson County; Colorado,71848
08059009832,Census Tract 98.32; Jefferson County; Colorado,113125
08059009833,Census Tract 98.33; Jefferson County; Colorado,78535
08059009834,Census Tract 98.34; Jefferson County; Colorado,89509
08059009835,Census Tract 98.35; Jefferson County; Colorado,133676
08059009836,Census Tract 98.36; Jefferson County; Colorado,153060
08059009837,Census Tract 98.37; Jefferson County; Colorado,181029
08059009838,Census Tract 98.38; Jefferson County; Colorado,153600
08059009839,Census Tract 98.39; Jefferson County; Colorado,153203
08059009840,Census Tract 98.40; Jefferson County; Colorado,99784
08059009841,Census Tract 98.41; Jefferson County; Colorado,118750
08059009842,Census Tract 98.42; Jefferson County; Colorado,156250
08059009845,Census Tract 98.45; Jefferson County; Colorado,189813
08059009846,Census Tract 98.46; Jefferson County; Colorado,186188
08059009847,Census Tract 98.47; Jefferson County; Colorado,144688
08059009848,Census Tract 98.48; Jefferson County; Colorado,179464
08059009850,Census Tract 98.50; Jefferson County; Colorado,189631
08059009851,Census Tract 98.51; Jefferson County; Colorado,118355
08059009852,Census Tract 98.52; Jefferson County; Colorado,161000
08059009853,Census Tract 98.53; Jefferson County; Colorado,167790
08059009854,Census Tract 98.54; Jefferson County; Colorado,168636
08059009855,Census Tract 98.55; Jefferson County; Colorado,164385
08059009856,Census Tract 98.56; Jefferson County; Colorado,75400
08059009857,Census Tract 98.57; Jefferson County; Colorado,91667
08059009858,Census Tract 98.58; Jefferson County; Colorado,145600
08059009901,Census Tract 99.01; Jefferson County; Colorado,70000
08059010001,Census Tract 100.01; Jefferson County; Colorado,88665
