GEO_ID,Tract_Name,County,Total_Households,No_Internet_HH,Pct_No_Internet
08001007801,"Census Tract 78.01, Adams County, CO",Adams County,1332,226,17.0
08001007802,"Census Tract 78.02, Adams County, CO",Adams County,1517,254,16.7
08001007900,"Census Tract 79, Adams County, CO",Adams County,2264,218,9.6
08001008000,"Census Tract 80, Adams County, CO",Adams County,2025,123,6.1
08001008100,"Census Tract 81, Adams County, CO",Adams County,770,8,1.0
08001008200,"Census Tract 82, Adams County, CO",Adams County,1678,81,4.8
08001008308,"Census Tract 83.08, Adams County, CO",Adams County,2116,84,4.0
08001008309,"Census Tract 83.09, Adams County, CO",Adams County,1256,66,5.3
08001008354,"Census Tract 83.54, Adams County, CO",Adams County,1873,0,0.0
08001008355,"Census Tract 83.55, Adams County, CO",Adams County,1788,113,6.3
08001008401,"Census Tract 84.01, Adams County, CO",Adams County,1922,79,4.1
08001008402,"Census Tract 84.02, Adams County, CO",Adams County,1702,12,0.7
08001008505,"Census Tract 85.05, Adams County, CO",Adams County,2376,138,5.8
08001008506,"Census Tract 85.06, Adams County, CO",Adams County,2845,642,22.6
08001008507,"Census Tract 85.07, Adams County, CO",Adams County,2146,20,0.9
08001008508,"Census Tract 85.08, Adams County, CO",Adams County,1894,29,1.5
08001008524,"Census Tract 85.24, Adams County, CO",Adams County,3041,0,0.0
08001008526,"Census Tract 85.26, Adams County, CO",Adams County,2768,13,0.5
08001008533,"Census Tract 85.33, Adams County, CO",Adams County,3136,146,4.7
08001008534,"Census Tract 85.34, Adams County, CO",Adams County,1482,10,0.7
08001008535,"Census Tract 85.35, Adams County, CO",Adams County,1697,30,1.8
08001008536,"Census Tract 85.36, Adams County, CO",Adams County,1621,11,0.7
08001008538,"Census Tract 85.38, Adams County, CO",Adams County,4145,0,0.0
08001008540,"Census Tract 85.40, Adams County, CO",Adams County,3175,0,0.0
08001008544,"Census Tract 85.44, Adams County, CO",Adams County,1859,27,1.5
08001008545,"Census Tract 85.45, Adams County, CO",Adams County,2134,65,3.0
08001008546,"Census Tract 85.46, Adams County, CO",Adams County,1441,50,3.5
08001008547,"Census Tract 85.47, Adams County, CO",Adams County,1142,0,0.0
08001008548,"Census Tract 85.48, Adams County, CO",Adams County,562,0,0.0
08001008549,"Census Tract 85.49, Adams County, CO",Adams County,1223,0,0.0
08001008550,"Census Tract 85.50, Adams County, CO",Adams County,2678,29,1.1
08001008551,"Census Tract 85.51, Adams County, CO",Adams County,577,8,1.4
08001008552,"Census Tract 85.52, Adams County, CO",Adams County,1903,129,6.8
08001008553,"Census Tract 85.53, Adams County, CO",Adams County,1888,66,3.5
08001008554,"Census Tract 85.54, Adams County, CO",Adams County,1041,27,2.6
08001008555,"Census Tract 85.55, Adams County, CO",Adams County,2797,78,2.8
08001008556,"Census Tract 85.56, Adams County, CO",Adams County,2376,133,5.6
08001008557,"Census Tract 85.57, Adams County, CO",Adams County,389,5,1.3
08001008558,"Census Tract 85.58, Adams County, CO",Adams County,1384,79,5.7
08001008559,"Census Tract 85.59, Adams County, CO",Adams County,2708,97,3.6
08001008560,"Census Tract 85.60, Adams County, CO",Adams County,722,0,0.0
08001008561,"Census Tract 85.61, Adams County, CO",Adams County,2089,20,1.0
08001008562,"Census Tract 85.62, Adams County, CO",Adams County,1865,19,1.0
08001008563,"Census Tract 85.63, Adams County, CO",Adams County,1495,10,0.7
08001008564,"Census Tract 85.64, Adams County, CO",Adams County,309,17,5.5
08001008565,"Census Tract 85.65, Adams County, CO",Adams County,2185,165,7.6
08001008603,"Census Tract 86.03, Adams County, CO",Adams County,678,60,8.8
08001008604,"Census Tract 86.04, Adams County, CO",Adams County,1264,49,3.9
08001008605,"Census Tract 86.05, Adams County, CO",Adams County,1369,52,3.8
08001008606,"Census Tract 86.06, Adams County, CO",Adams County,2360,123,5.2
08001008705,"Census Tract 87.05, Adams County, CO",Adams County,1645,116,7.1
08001008706,"Census Tract 87.06, Adams County, CO",Adams County,1797,266,14.8
08001008709,"Census Tract 87.09, Adams County, CO",Adams County,2757,635,23.0
08001008801,"Census Tract 88.01, Adams County, CO",Adams County,1484,81,5.5
08001008802,"Census Tract 88.02, Adams County, CO",Adams County,1288,204,15.8
08001008901,"Census Tract 89.01, Adams County, CO",Adams County,791,70,8.8
08001009001,"Census Tract 90.01, Adams County, CO",Adams County,1700,246,14.5
08001009003,"Census Tract 90.03, Adams County, CO",Adams County,1568,82,5.2
08001009004,"Census Tract 90.04, Adams County, CO",Adams County,1971,83,4.2
08001009101,"Census Tract 91.01, Adams County, CO",Adams County,1456,9,0.6
08001009103,"Census Tract 91.03, Adams County, CO",Adams County,1305,102,7.8
08001009104,"Census Tract 91.04, Adams County, CO",Adams County,2154,10,0.5
08001009202,"Census Tract 92.02, Adams County, CO",Adams County,1398,61,4.4
08001009203,"Census Tract 92.03, Adams County, CO",Adams County,1984,68,3.4
08001009204,"Census Tract 92.04, Adams County, CO",Adams County,2582,24,0.9
08001009206,"Census Tract 92.06, Adams County, CO",Adams County,1187,195,16.4
08001009207,"Census Tract 92.07, Adams County, CO",Adams County,1421,16,1.1
08001009304,"Census Tract 93.04, Adams County, CO",Adams County,2255,104,4.6
08001009306,"Census Tract 93.06, Adams County, CO",Adams County,1334,26,1.9
08001009307,"Census Tract 93.07, Adams County, CO",Adams County,1232,152,12.3
08001009308,"Census Tract 93.08, Adams County, CO",Adams County,1555,194,12.5
08001009309,"Census Tract 93.09, Adams County, CO",Adams County,1599,151,9.4
08001009310,"Census Tract 93.10, Adams County, CO",Adams County,1827,119,6.5
08001009316,"Census Tract 93.16, Adams County, CO",Adams County,2375,54,2.3
08001009318,"Census Tract 93.18, Adams County, CO",Adams County,2589,87,3.4
08001009319,"Census Tract 93.19, Adams County, CO",Adams County,901,130,14.4
08001009320,"Census Tract 93.20, Adams County, CO",Adams County,1366,132,9.7
08001009321,"Census Tract 93.21, Adams County, CO",Adams County,1464,70,4.8
08001009322,"Census Tract 93.22, Adams County, CO",Adams County,1620,138,8.5
08001009323,"Census Tract 93.23, Adams County, CO",Adams County,1535,129,8.4
08001009325,"Census Tract 93.25, Adams County, CO",Adams County,2751,247,9.0
08001009326,"Census Tract 93.26, Adams County, CO",Adams County,1214,0,0.0
08001009327,"Census Tract 93.27, Adams County, CO",Adams County,1762,112,6.4
08001009401,"Census Tract 94.01, Adams County, CO",Adams County,1658,84,5.1
08001009406,"Census Tract 94.06, Adams County, CO",Adams County,1645,59,3.6
08001009407,"Census Tract 94.07, Adams County, CO",Adams County,1821,152,8.3
08001009408,"Census Tract 94.08, Adams County, CO",Adams County,2014,0,0.0
08001009409,"Census Tract 94.09, Adams County, CO",Adams County,2366,91,3.8
08001009410,"Census Tract 94.10, Adams County, CO",Adams County,1223,5,0.4
08001009411,"Census Tract 94.11, Adams County, CO",Adams County,1348,16,1.2
08001009501,"Census Tract 95.01, Adams County, CO",Adams County,1130,174,15.4
08001009502,"Census Tract 95.02, Adams County, CO",Adams County,1914,151,7.9
08001009553,"Census Tract 95.53, Adams County, CO",Adams County,1391,71,5.1
08001009603,"Census Tract 96.03, Adams County, CO",Adams County,2751,462,16.8
08001009604,"Census Tract 96.04, Adams County, CO",Adams County,1773,178,10.0
08001009606,"Census Tract 96.06, Adams County, CO",Adams County,1262,72,5.7
08001009607,"Census Tract 96.07, Adams County, CO",Adams County,1880,245,13.0
08001009608,"Census Tract 96.08, Adams County, CO",Adams County,1153,35,3.0
08001009751,"Census Tract 97.51, Adams County, CO",Adams County,1499,308,20.5
08001009752,"Census Tract 97.52, Adams County, CO",Adams County,1040,93,8.9
08001015000,"Census Tract 150, Adams County, CO",Adams County,1088,161,14.8
08001060001,"Census Tract 600.01, Adams County, CO",Adams County,1208,23,1.9
08001060002,"Census Tract 600.02, Adams County, CO",Adams County,1367,57,4.2
08001060100,"Census Tract 601, Adams County, CO",Adams County,2649,234,8.8
08001060200,"Census Tract 602, Adams County, CO",Adams County,2366,11,0.5
08001061200,"Census Tract 612, Adams County, CO",Adams County,1544,48,3.1
08001988700,"Census Tract 9887, Adams County, CO",Adams County,0,0,
08059009806,"Census Tract 98.06, Jefferson County, CO",Jefferson County,1861,22,1.2
08059009807,"Census Tract 98.07, Jefferson County, CO",Jefferson County,748,68,9.1
08059009815,"Census Tract 98.15, Jefferson County, CO",Jefferson County,2000,30,1.5
08059009823,"Census Tract 98.23, Jefferson County, CO",Jefferson County,1593,0,0.0
08059009824,"Census Tract 98.24, Jefferson County, CO",Jefferson County,2030,0,0.0
08059009827,"Census Tract 98.27, Jefferson County, CO",Jefferson County,2303,91,4.0
08059009828,"Census Tract 98.28, Jefferson County, CO",Jefferson County,2175,79,3.6
08059009829,"Census Tract 98.29, Jefferson County, CO",Jefferson County,689,14,2.0
08059009830,"Census Tract 98.30, Jefferson County, CO",Jefferson County,972,9,0.9
08059009831,"Census Tract 98.31, Jefferson County, CO",Jefferson County,1537,27,1.8
08059009832,"Census Tract 98.32, Jefferson County, CO",Jefferson County,915,51,5.6
08059009833,"Census Tract 98.33, Jefferson County, CO",Jefferson County,2227,84,3.8
08059009834,"Census Tract 98.34, Jefferson County, CO",Jefferson County,1990,26,1.3
08059009835,"Census Tract 98.35, Jefferson County, CO",Jefferson County,1402,11,0.8
08059009836,"Census Tract 98.36, Jefferson County, CO",Jefferson County,1603,157,9.8
08059009837,"Census Tract 98.37, Jefferson County, CO",Jefferson County,2844,0,0.0
08059009838,"Census Tract 98.38, Jefferson County, CO",Jefferson County,2149,23,1.1
08059009839,"Census Tract 98.39, Jefferson County, CO",Jefferson County,810,5,0.6
08059009840,"Census Tract 98.40, Jefferson County, CO",Jefferson County,1335,23,1.7
08059009841,"Census Tract 98.41, Jefferson County, CO",Jefferson County,856,29,3.4
08059009842,"Census Tract 98.42, Jefferson County, CO",Jefferson County,1278,11,0.9
08059009845,"Census Tract 98.45, Jefferson County, CO",Jefferson County,1744,66,3.8
08059009846,"Census Tract 98.46, Jefferson County, CO",Jefferson County,1986,0,0.0
08059009847,"Census Tract 98.47, Jefferson County, CO",Jefferson County,1339,58,4.3
08059009848,"Census Tract 98.48, Jefferson County, CO",Jefferson County,1073,61,5.7
08059009850,"Census Tract 98.50, Jefferson County, CO",Jefferson County,1116,20,1.8
08059009851,"Census Tract 98.51, Jefferson County, CO",Jefferson County,1854,60,3.2
08059009852,"Census Tract 98.52, Jefferson County, CO",Jefferson County,1893,20,1.1
08059009853,"Census Tract 98.53, Jefferson County, CO",Jefferson County,986,0,0.0
08059009854,"Census Tract 98.54, Jefferson County, CO",Jefferson County,2193,122,5.6
08059009855,"Census Tract 98.55, Jefferson County, CO",Jefferson County,1085,0,0.0
08059009856,"Census Tract 98.56, Jefferson County, CO",Jefferson County,1291,70,5.4
08059009857,"Census Tract 98.57, Jefferson County, CO",Jefferson County,1281,31,2.4
08059009858,"Census Tract 98.58, Jefferson County, CO",Jefferson County,1579,29,1.8
08059009901,"Census Tract 99.01, Jefferson County, CO",Jefferson County,954,0,0.0
08059010001,"Census Tract 100.01, Jefferson County, CO",Jefferson County,1399,43,3.1
08059010100,"Census Tract 101, Jefferson County, CO",Jefferson County,2119,264,12.5
08059010205,"Census Tract 102.05, Jefferson County, CO",Jefferson County,1037,76,7.3
08059010206,"Census Tract 102.06, Jefferson County, CO",Jefferson County,1643,45,2.7
08059010208,"Census Tract 102.08, Jefferson County, CO",Jefferson County,2150,141,6.6
08059010209,"Census Tract 102.09, Jefferson County, CO",Jefferson County,2789,66,2.4
08059010210,"Census Tract 102.10, Jefferson County, CO",Jefferson County,1315,135,10.3
08059010211,"Census Tract 102.11, Jefferson County, CO",Jefferson County,1233,100,8.1
