GEO_ID,Tract_Name,County,Total_Households,No_Vehicle_HH,Pct_No_Vehicle
08001007801,"Census Tract 78.01, Adams County, CO",Adams County,1332,602,45.2
08001007802,"Census Tract 78.02, Adams County, CO",Adams County,1517,370,24.4
08001007900,"Census Tract 79, Adams County, CO",Adams County,2264,288,12.7
08001008000,"Census Tract 80, Adams County, CO",Adams County,2025,163,8.0
08001008100,"Census Tract 81, Adams County, CO",Adams County,770,95,12.3
08001008200,"Census Tract 82, Adams County, CO",Adams County,1678,131,7.8
08001008308,"Census Tract 83.08, Adams County, CO",Adams County,2116,137,6.5
08001008309,"Census Tract 83.09, Adams County, CO",Adams County,1256,50,4.0
08001008354,"Census Tract 83.54, Adams County, CO",Adams County,1873,0,0.0
08001008355,"Census Tract 83.55, Adams County, CO",Adams County,1788,16,0.9
08001008401,"Census Tract 84.01, Adams County, CO",Adams County,1922,79,4.1
08001008402,"Census Tract 84.02, Adams County, CO",Adams County,1702,36,2.1
08001008505,"Census Tract 85.05, Adams County, CO",Adams County,2376,56,2.4
08001008506,"Census Tract 85.06, Adams County, CO",Adams County,2845,491,17.3
08001008507,"Census Tract 85.07, Adams County, CO",Adams County,2146,229,10.7
08001008508,"Census Tract 85.08, Adams County, CO",Adams County,1894,25,1.3
08001008524,"Census Tract 85.24, Adams County, CO",Adams County,3041,59,1.9
08001008526,"Census Tract 85.26, Adams County, CO",Adams County,2768,30,1.1
08001008533,"Census Tract 85.33, Adams County, CO",Adams County,3136,45,1.4
08001008534,"Census Tract 85.34, Adams County, CO",Adams County,1482,15,1.0
08001008535,"Census Tract 85.35, Adams County, CO",Adams County,1697,51,3.0
08001008536,"Census Tract 85.36, Adams County, CO",Adams County,1621,9,0.6
08001008538,"Census Tract 85.38, Adams County, CO",Adams County,4145,0,0.0
08001008540,"Census Tract 85.40, Adams County, CO",Adams County,3175,4,0.1
08001008544,"Census Tract 85.44, Adams County, CO",Adams County,1859,36,1.9
08001008545,"Census Tract 85.45, Adams County, CO",Adams County,2134,53,2.5
08001008546,"Census Tract 85.46, Adams County, CO",Adams County,1441,51,3.5
08001008547,"Census Tract 85.47, Adams County, CO",Adams County,1142,34,3.0
08001008548,"Census Tract 85.48, Adams County, CO",Adams County,562,1,0.2
08001008549,"Census Tract 85.49, Adams County, CO",Adams County,1223,12,1.0
08001008550,"Census Tract 85.50, Adams County, CO",Adams County,2678,41,1.5
08001008551,"Census Tract 85.51, Adams County, CO",Adams County,577,6,1.0
08001008552,"Census Tract 85.52, Adams County, CO",Adams County,1903,63,3.3
08001008553,"Census Tract 85.53, Adams County, CO",Adams County,1888,39,2.1
08001008554,"Census Tract 85.54, Adams County, CO",Adams County,1041,0,0.0
08001008555,"Census Tract 85.55, Adams County, CO",Adams County,2797,91,3.3
08001008556,"Census Tract 85.56, Adams County, CO",Adams County,2376,21,0.9
08001008557,"Census Tract 85.57, Adams County, CO",Adams County,389,5,1.3
08001008558,"Census Tract 85.58, Adams County, CO",Adams County,1384,0,0.0
08001008559,"Census Tract 85.59, Adams County, CO",Adams County,2708,138,5.1
08001008560,"Census Tract 85.60, Adams County, CO",Adams County,722,20,2.8
08001008561,"Census Tract 85.61, Adams County, CO",Adams County,2089,135,6.5
08001008562,"Census Tract 85.62, Adams County, CO",Adams County,1865,46,2.5
