GEO_ID,NAME,Total_Pop,Below_Poverty,Poverty_Rate
08001007801,Census Tract 78.01; Adams County; Colorado,4018,1014,25.2
08001007802,Census Tract 78.02; Adams County; Colorado,4288,1281,29.9
08001007900,Census Tract 79; Adams County; Colorado,6735,1455,21.6
08001008000,Census Tract 80; Adams County; Colorado,5564,545,9.8
08001008100,Census Tract 81; Adams County; Colorado,1455,641,44.1
08001008200,Census Tract 82; Adams County; Colorado,6446,973,15.1
08001008308,Census Tract 83.08; Adams County; Colorado,6518,1666,25.6
08001008309,Census Tract 83.09; Adams County; Colorado,3851,801,20.8
08001008354,Census Tract 83.54; Adams County; Colorado,7963,195,2.4
08001008355,Census Tract 83.55; Adams County; Colorado,4830,359,7.4
08001008401,Census Tract 84.01; Adams County; Colorado,5900,325,5.5
08001008402,Census Tract 84.02; Adams County; Colorado,5636,513,9.1
08001008505,Census Tract 85.05; Adams County; Colorado,7082,1026,14.5
08001008506,Census Tract 85.06; Adams County; Colorado,6015,711,11.8
08001008507,Census Tract 85.07; Adams County; Colorado,6320,268,4.2
08001008508,Census Tract 85.08; Adams County; Colorado,5719,6,0.1
08001008524,Census Tract 85.24; Adams County; Colorado,8969,185,2.1
08001008526,Census Tract 85.26; Adams County; Colorado,7537,153,2.0
08001008533,Census Tract 85.33; Adams County; Colorado,7932,463,5.8
08001008534,Census Tract 85.34; Adams County; Colorado,4213,116,2.8
08001008535,Census Tract 85.35; Adams County; Colorado,4774,212,4.4
08001008536,Census Tract 85.36; Adams County; Colorado,5093,135,2.7
08001008538,Census Tract 85.38; Adams County; Colorado,15073,786,5.2
08001008540,Census Tract 85.40; Adams County; Colorado,10799,383,3.5
08001008544,Census Tract 85.44; Adams County; Colorado,5972,375,6.3
08001008545,Census Tract 85.45; Adams County; Colorado,6238,105,1.7
08001008546,Census Tract 85.46; Adams County; Colorado,3432,104,3.0
08001008547,Census Tract 85.47; Adams County; Colorado,3234,99,3.1
08001008548,Census Tract 85.48; Adams County; Colorado,1604,97,6.0
08001008549,Census Tract 85.49; Adams County; Colorado,5032,56,1.1
08001008550,Census Tract 85.50; Adams County; Colorado,8166,536,6.6
08001008551,Census Tract 85.51; Adams County; Colorado,1911,250,13.1
08001008552,Census Tract 85.52; Adams County; Colorado,5493,715,13.0
08001008553,Census Tract 85.53; Adams County; Colorado,5832,394,6.8
08001008554,Census Tract 85.54; Adams County; Colorado,2912,162,5.6
08001008555,Census Tract 85.55; Adams County; Colorado,6621,781,11.8
08001008556,Census Tract 85.56; Adams County; Colorado,6068,119,2.0
08001008557,Census Tract 85.57; Adams County; Colorado,1371,37,2.7
08001008558,Census Tract 85.58; Adams County; Colorado,4811,0,0.0
08001008559,Census Tract 85.59; Adams County; Colorado,9257,654,7.1
08001008560,Census Tract 85.60; Adams County; Colorado,2470,29,1.2
08001008561,Census Tract 85.61; Adams County; Colorado,5098,140,2.7
08001008562,Census Tract 85.62; Adams County; Colorado,6545,697,10.6
08001008563,Census Tract 85.63; Adams County; Colorado,4537,91,2.0
08001008564,Census Tract 85.64; Adams County; Colorado,1502,85,5.7
08001008565,Census Tract 85.65; Adams County; Colorado,7176,757,10.5
08001008603,Census Tract 86.03; Adams County; Colorado,1803,385,21.4
08001008604,Census Tract 86.04; Adams County; Colorado,3852,182,4.7
08001008605,Census Tract 86.05; Adams County; Colorado,4099,396,9.7
08001008606,Census Tract 86.06; Adams County; Colorado,6384,431,6.8
08001008705,Census Tract 87.05; Adams County; Colorado,5444,1101,20.2
08001008706,Census Tract 87.06; Adams County; Colorado,4658,442,9.5
08001008709,Census Tract 87.09; Adams County; Colorado,6829,1826,26.7
08001008801,Census Tract 88.01; Adams County; Colorado,5612,700,12.5
08001008802,Census Tract 88.02; Adams County; Colorado,3934,211,5.4
08001008901,Census Tract 89.01; Adams County; Colorado,2429,183,7.5
08001009001,Census Tract 90.01; Adams County; Colorado,5285,1035,19.6
08001009003,Census Tract 90.03; Adams County; Colorado,4460,293,6.6
08001009004,Census Tract 90.04; Adams County; Colorado,5537,1118,20.2
08001009101,Census Tract 91.01; Adams County; Colorado,4258,163,3.8
08001009103,Census Tract 91.03; Adams County; Colorado,4300,496,11.5
08001009104,Census Tract 91.04; Adams County; Colorado,7108,405,5.7
08001009202,Census Tract 92.02; Adams County; Colorado,4179,228,5.5
08001009203,Census Tract 92.03; Adams County; Colorado,4227,639,15.1
08001009204,Census Tract 92.04; Adams County; Colorado,6591,994,15.1
08001009206,Census Tract 92.06; Adams County; Colorado,2251,73,3.2
08001009207,Census Tract 92.07; Adams County; Colorado,4764,289,6.1
08001009304,Census Tract 93.04; Adams County; Colorado,5520,564,10.2
08001009306,Census Tract 93.06; Adams County; Colorado,4131,447,10.8
08001009307,Census Tract 93.07; Adams County; Colorado,3578,154,4.3
08001009308,Census Tract 93.08; Adams County; Colorado,4198,324,7.7
08001009309,Census Tract 93.09; Adams County; Colorado,3946,491,12.4
08001009310,Census Tract 93.10; Adams County; Colorado,5474,909,16.6
08001009316,Census Tract 93.16; Adams County; Colorado,7145,1927,27.0
08001009318,Census Tract 93.18; Adams County; Colorado,7233,1591,22.0
08001009319,Census Tract 93.19; Adams County; Colorado,2409,672,27.9
08001009320,Census Tract 93.20; Adams County; Colorado,2965,487,16.4
08001009321,Census Tract 93.21; Adams County; Colorado,4351,946,21.7
08001009322,Census Tract 93.22; Adams County; Colorado,5133,422,8.2
08001009323,Census Tract 93.23; Adams County; Colorado,3434,573,16.7
08001009325,Census Tract 93.25; Adams County; Colorado,6010,434,7.2
08001009326,Census Tract 93.26; Adams County; Colorado,2487,80,3.2
08001009327,Census Tract 93.27; Adams County; Colorado,4962,522,10.5
08001009401,Census Tract 94.01; Adams County; Colorado,4513,556,12.3
08001009406,Census Tract 94.06; Adams County; Colorado,4414,419,9.5
08001009407,Census Tract 94.07; Adams County; Colorado,5363,492,9.2
08001009408,Census Tract 94.08; Adams County; Colorado,4742,216,4.6
08001009409,Census Tract 94.09; Adams County; Colorado,5728,220,3.8
08001009410,Census Tract 94.10; Adams County; Colorado,3113,154,4.9
08001009411,Census Tract 94.11; Adams County; Colorado,3133,257,8.2
08001009501,Census Tract 95.01; Adams County; Colorado,3151,93,3.0
08001009502,Census Tract 95.02; Adams County; Colorado,5276,672,12.7
08001009553,Census Tract 95.53; Adams County; Colorado,3587,246,6.9
08001009603,Census Tract 96.03; Adams County; Colorado,6343,1173,18.5
08001009604,Census Tract 96.04; Adams County; Colorado,3766,972,25.8
08001009606,Census Tract 96.06; Adams County; Colorado,3092,592,19.1
08001009607,Census Tract 96.07; Adams County; Colorado,4096,456,11.1
08001009608,Census Tract 96.08; Adams County; Colorado,2752,121,4.4
08001009751,Census Tract 97.51; Adams County; Colorado,3864,696,18.0
08001009752,Census Tract 97.52; Adams County; Colorado,3163,278,8.8
08001015000,Census Tract 150; Adams County; Colorado,2263,164,7.2
08001060001,Census Tract 600.01; Adams County; Colorado,2974,156,5.2
08001060002,Census Tract 600.02; Adams County; Colorado,5120,165,3.2
08001060100,Census Tract 601; Adams County; Colorado,7620,326,4.3
08001060200,Census Tract 602; Adams County; Colorado,4721,404,8.6
08001061200,Census Tract 612; Adams County; Colorado,4267,126,3.0
08001988700,Census Tract 9887; Adams County; Colorado,0,0,
08059009806,Census Tract 98.06; Jefferson County; Colorado,4695,171,3.6
08059009807,Census Tract 98.07; Jefferson County; Colorado,1719,95,5.5
08059009815,Census Tract 98.15; Jefferson County; Colorado,5116,84,1.6
08059009823,Census Tract 98.23; Jefferson County; Colorado,4308,119,2.8
08059009824,Census Tract 98.24; Jefferson County; Colorado,4889,64,1.3
08059009827,Census Tract 98.27; Jefferson County; Colorado,5614,330,5.9
08059009828,Census Tract 98.28; Jefferson County; Colorado,5206,170,3.3
08059009829,Census Tract 98.29; Jefferson County; Colorado,1736,58,3.3
08059009830,Census Tract 98.30; Jefferson County; Colorado,2277,70,3.1
08059009831,Census Tract 98.31; Jefferson County; Colorado,3121,404,12.9
08059009832,Census Tract 98.32; Jefferson County; Colorado,2285,90,3.9
08059009833,Census Tract 98.33; Jefferson County; Colorado,5592,594,10.6
08059009834,Census Tract 98.34; Jefferson County; Colorado,4592,382,8.3
08059009835,Census Tract 98.35; Jefferson County; Colorado,3421,117,3.4
08059009836,Census Tract 98.36; Jefferson County; Colorado,3947,50,1.3
08059009837,Census Tract 98.37; Jefferson County; Colorado,8574,221,2.6
08059009838,Census Tract 98.38; Jefferson County; Colorado,5244,311,5.9
08059009839,Census Tract 98.39; Jefferson County; Colorado,2235,93,4.2
08059009840,Census Tract 98.40; Jefferson County; Colorado,3406,199,5.8
08059009841,Census Tract 98.41; Jefferson County; Colorado,2046,57,2.8
08059009842,Census Tract 98.42; Jefferson County; Colorado,3201,34,1.1
08059009845,Census Tract 98.45; Jefferson County; Colorado,4123,95,2.3
08059009846,Census Tract 98.46; Jefferson County; Colorado,4990,232,4.6
08059009847,Census Tract 98.47; Jefferson County; Colorado,3362,39,1.2
08059009848,Census Tract 98.48; Jefferson County; Colorado,2589,48,1.9
08059009850,Census Tract 98.50; Jefferson County; Colorado,2531,35,1.4
08059009851,Census Tract 98.51; Jefferson County; Colorado,3845,170,4.4
08059009852,Census Tract 98.52; Jefferson County; Colorado,4888,167,3.4
08059009853,Census Tract 98.53; Jefferson County; Colorado,2695,31,1.2
08059009854,Census Tract 98.54; Jefferson County; Colorado,5241,419,8.0
08059009855,Census Tract 98.55; Jefferson County; Colorado,2816,194,6.9
08059009856,Census Tract 98.56; Jefferson County; Colorado,2707,327,12.1
08059009857,Census Tract 98.57; Jefferson County; Colorado,2957,485,16.4
08059009858,Census Tract 98.58; Jefferson County; Colorado,3605,119,3.3
08059009901,Census Tract 99.01; Jefferson County; Colorado,2107,610,29.0
08059010001,Census Tract 100.01; Jefferson County; Colorado,3275,402,12.3
08059010100,Census Tract 101; Jefferson County; Colorado,4846,536,11.1
08059010205,Census Tract 102.05; Jefferson County; Colorado,2520,89,3.5
08059010206,Census Tract 102.06; Jefferson County; Colorado,4098,188,4.6
08059010208,Census Tract 102.08; Jefferson County; Colorado,5559,287,5.2
08059010209,Census Tract 102.09; Jefferson County; Colorado,7105,559,7.9
08059010210,Census Tract 102.10; Jefferson County; Colorado,3171,98,3.1
08059010211,Census Tract 102.11; Jefferson County; Colorado,2908,213,7.3
08059010212,Census Tract 102.12; Jefferson County; Colorado,4188,550,13.1
08059010213,Census Tract 102.13; Jefferson County; Colorado,4574,556,12.2
08059010303,Census Tract 103.03; Jefferson County; Colorado,5269,292,5.5
08059010304,Census Tract 103.04; Jefferson County; Colorado,2320,124,5.3
08059010305,Census Tract 103.05; Jefferson County; Colorado,3499,173,4.9
08059010306,Census Tract 103.06; Jefferson County; Colorado,2640,199,7.5
08059010307,Census Tract 103.07; Jefferson County; Colorado,4615,364,7.9
08059010308,Census Tract 103.08; Jefferson County; Colorado,7062,416,5.9
08059010402,Census Tract 104.02; Jefferson County; Colorado,5428,667,12.3
08059010403,Census Tract 104.03; Jefferson County; Colorado,5525,1125,20.4
08059010405,Census Tract 104.05; Jefferson County; Colorado,2903,295,10.2
08059010406,Census Tract 104.06; Jefferson County; Colorado,2873,174,6.1
08059010502,Census Tract 105.02; Jefferson County; Colorado,5262,404,7.7
08059010503,Census Tract 105.03; Jefferson County; Colorado,4711,373,7.9
08059010504,Census Tract 105.04; Jefferson County; Colorado,3092,113,3.7
