GEO_ID,Tract_Name,County,Total_Households,Public_Assistance_HH,Pct_Public_Assistance
08001007801,"Census Tract 78.01, Adams County, CO",Adams County,1332,85,6.4
08059009806,"Census Tract 98.06, Jefferson County, CO",Jefferson County,1861,36,1.9
08059009807,"Census Tract 98.07, Jefferson County, CO",Jefferson County,748,8,1.1
08059009815,"Census Tract 98.15, Jefferson County, CO",Jefferson County,2000,7,0.4
08059009823,"Census Tract 98.23, Jefferson County, CO",Jefferson County,1593,12,0.8
08059009824,"Census Tract 98.24, Jefferson County, CO",Jefferson County,2030,10,0.5
08059009827,"Census Tract 98.27, Jefferson County, CO",Jefferson County,2303,68,3.0
08059009828,"Census Tract 98.28, Jefferson County, CO",Jefferson County,2175,52,2.4
08059009829,"Census Tract 98.29, Jefferson County, CO",Jefferson County,689,7,1.0
08059009830,"Census Tract 98.30, Jefferson County, CO",Jefferson County,972,10,1.0
08059009831,"Census Tract 98.31, Jefferson County, CO",Jefferson County,1537,21,1.4
08059009832,"Census Tract 98.32, Jefferson County, CO",Jefferson County,915,34,3.7
08059009833,"Census Tract 98.33, Jefferson County, CO",Jefferson County,2227,47,2.1
08059009834,"Census Tract 98.34, Jefferson County, CO",Jefferson County,1990,8,0.4
08059009835,"Census Tract 98.35, Jefferson County, CO",Jefferson County,1402,9,0.6
08059009836,"Census Tract 98.36, Jefferson County, CO",Jefferson County,1603,0,0.0
08059009837,"Census Tract 98.37, Jefferson County, CO",Jefferson County,2844,51,1.8
08059009838,"Census Tract 98.38, Jefferson County, CO",Jefferson County,2149,18,0.8
08059009839,"Census Tract 98.39, Jefferson County, CO",Jefferson County,810,20,2.5
08059009840,"Census Tract 98.40, Jefferson County, CO",Jefferson County,1335,17,1.3
08059009841,"Census Tract 98.41, Jefferson County, CO",Jefferson County,856,17,2.0
08059009842,"Census Tract 98.42, Jefferson County, CO",Jefferson County,1278,0,0.0
08059009845,"Census Tract 98.45, Jefferson County, CO",Jefferson County,1744,0,0.0
