GEO_ID,NAME,Total_Pop,White_NonHispanic,Black_NonHispanic,Asian_NonHispanic,Hispanic,Pct_Hispanic
08001007801,Census Tract 78.01; Adams County; Colorado,4108,462,572,827,2210,53.8
08001007802,Census Tract 78.02; Adams County; Colorado,4323,552,436,175,2869,66.4
08001007900,Census Tract 79; Adams County; Colorado,6735,1456,1177,147,3765,55.9
08001008000,Census Tract 80; Adams County; Colorado,5597,1722,271,80,2945,52.6
08001008100,Census Tract 81; Adams County; Colorado,1676,898,107,261,204,12.2
08001008200,Census Tract 82; Adams County; Colorado,6582,1096,1114,325,3691,56.1
08001008308,Census Tract 83.08; Adams County; Colorado,6518,665,1208,306,4069,62.4
08001008309,Census Tract 83.09; Adams County; Colorado,3865,541,261,63,2971,76.9
08001008354,Census Tract 83.54; Adams County; Colorado,7963,1558,2304,427,2856,35.9
08001008355,Census Tract 83.55; Adams County; Colorado,4830,1907,254,138,2496,51.7
08001008401,Census Tract 84.01; Adams County; Colorado,6005,3900,66,59,1632,27.2
08001008402,Census Tract 84.02; Adams County; Colorado,5636,3845,117,8,1241,22.0
08001008505,Census Tract 85.05; Adams County; Colorado,7106,3674,461,19,2751,38.7
08001008506,Census Tract 85.06; Adams County; Colorado,6154,3292,257,317,1660,27.0
08001008507,Census Tract 85.07; Adams County; Colorado,6320,3041,218,205,2280,36.1
08001008508,Census Tract 85.08; Adams County; Colorado,5787,2986,45,118,2437,42.1
08001008524,Census Tract 85.24; Adams County; Colorado,8976,5614,131,1088,1743,19.4
08001008526,Census Tract 85.26; Adams County; Colorado,7537,5168,60,339,1584,21.0
08001008533,Census Tract 85.33; Adams County; Colorado,8063,3638,19,282,3626,45.0
08001008534,Census Tract 85.34; Adams County; Colorado,4213,2470,18,209,1468,34.8
08001008535,Census Tract 85.35; Adams County; Colorado,4774,2531,0,52,1977,41.4
08001008536,Census Tract 85.36; Adams County; Colorado,5093,3026,115,301,1261,24.8
08001008538,Census Tract 85.38; Adams County; Colorado,15073,7100,1065,251,5992,39.8
08001008540,Census Tract 85.40; Adams County; Colorado,10799,6426,73,673,3293,30.5
08001008544,Census Tract 85.44; Adams County; Colorado,5998,3443,338,498,1224,20.4
08001008545,Census Tract 85.45; Adams County; Colorado,6373,4621,172,306,943,14.8
08001008546,Census Tract 85.46; Adams County; Colorado,3468,1997,0,184,1236,35.6
08001008547,Census Tract 85.47; Adams County; Colorado,3451,1929,6,45,1062,30.8
08001008548,Census Tract 85.48; Adams County; Colorado,1604,988,36,37,413,25.7
08001008549,Census Tract 85.49; Adams County; Colorado,5032,1824,411,447,2107,41.9
08001008550,Census Tract 85.50; Adams County; Colorado,8191,4631,100,387,2553,31.2
08001008551,Census Tract 85.51; Adams County; Colorado,1916,1012,22,315,519,27.1
08001008552,Census Tract 85.52; Adams County; Colorado,5493,3126,20,177,1662,30.3
08001008553,Census Tract 85.53; Adams County; Colorado,5832,3838,22,129,1524,26.1
08001008554,Census Tract 85.54; Adams County; Colorado,2912,1792,382,43,473,16.2
